en,tr,partition
"Our youngsters don't even dance this kind of dance in dancing competitions like Aatam 100 Vagai.
","Gençlerimiz, Aatam 100 Vagai gibi dans yarışmalarında bu dansı uygulamıyor bile.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Since when did dappankuthu became Malaysian Indians' culture?
","Dappankuthu ne zamandan beri Malezya hint kültürünün bir parçası?
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"This genre of dappankuthu dance is exclusively confined in Tamil movies from India and if Petronas advertising team thought that dappan dance will hit the right chord with Malaysian Indians and Malaysians at large, well, sorry to burst your bubble but you are sorely mistaken.
","Dappankuthu dans türü tamamen Hindistan'ın Tamil filmlerine aittir ve eğer Petronas reklmacılık ekibi Dappan dansının Malezya yelileri ve Malezya'nın genelini tam kalbinden vuracağını düşündüyse şunu demeleliyim ki: üzgünmüm ama son derece yanıldınız.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"WE ABHOR IT!!
","BIZ BUNDAN TIKSINIYORUZ!!
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Well, most of us..
","En azından çoğumuz bu konuda böyle hissediyor..
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"What is the message that this ad is trying to convey and what is the nexus of it with Diwali?
","Reklam filminin vermeye çalıştığı mesaj nedir ve Diwali ile nasıl bir bağlantısı vardır?
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Diwali marks, good triumphing over evil, light, overcoming darkness but what this ad is depicting is that Indians are still stuck in the Dark Ages.
","Diwali, iyi güçlerin şeytanı yenmesini, ışığın karanlığın yerini almasını simgeler ama bu reklam karanlık çağlarda takılmıştır.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"A great insult to our culture and history.
","Kültür ve geleneğimize büyük bir hakarettir.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"To amend their major blunder, Petronas should withdraw the advert forthwith and stick to producing value-based adverts that Petronas traditionally do.
","Bu büyük hatayı telafi etmek amacıyla Petronas reklam filmini bir an önce kaldırmalı ve çoğunlukla yaptıkları gibi değer-bazlı reklam filmleri çekmeye odaklanmalıdır.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Petronas has been famous for its heart-warming advertisements during important national celebrations.
","Petronas şirketi, önemli ulusal kutlamalarda yayınladıklari duygulu reklam filmleri ile biliniyor.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Xu Vin, however, was unaware of the cultural significance of the dance.
","Ancak Xu Vin,dansın kültürel öneminden habersizdi.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Forgive me for my ignorance.
","Reklam filmini ilk izlediğimde süper olduğunu düşündüm!
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"I initially watched it and thought it was great! the dancing, catchy music, colours and people. loved it and thought it was a twist to previous Petronas adverts that usually tweak our emotions if not bring tears to our eyes.
","Dans, dile dolanan müzik, renkler ve insanlar.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"I even shared it on my wall.
","Bunu duvarımda bile paylaştım.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Upon further insight, I found out it actually angered a lot of ppl, esp Hindus who felt it was a misrepresentation of the true meaning of Deepavali.
","Ama daha sonra incelediğimde, reklamın birçok insanı, özellikle Deepavali'nin gerçek anlamının çarpıtıldığını düşünen Hindu'lari kızdırdığını gördüm.
",2012_11_13_petronas-deepavali-ad-angers-malaysian-indians_
"Football Game in Tajikistan Ends in Massive Brawl · Global Voices
","Tacikistan'da Futbol Maçı Kavga Dövüş ile Son Buldu
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"A football match in the northern Tajik town of Istaravshan had to be abandoned after a massive brawl broke out on the pitch.
","Tacikistan'ın kuzeyinde bulunan Istaravshan kentinde dün oynanan bir futbol maçı sahada alevlenen büyük bir kavga ile son buldu.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"On November 8, Dushanbe-based Energetic arrived in the northern town for a national championship game against the local club, Istaravshan.
","8 Kasım tarihinde Duşanbe merkezli Energetic takımı, yerel takım Istaravshan ile milli şampiyonada karşılaşmak üzere şehre geldi.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"The guests scored first, but Istaravshan players then pressed for most of the second half before finally getting the equalizer on the 81st minute of the game.
","Misafir takım oyunun başlarında öndeydi ama oyunun ikinci yarısında Istaravshan güçlü bir oyun sergiledi ve 81. dakikada durumu eşitledi.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"According to Tajikistan's Football Federation , the hosts' equalizer angered Energetic players who felt the goal had to be disallowed.
","Tacikistan Futbol Federasyonu'nun açıklamasına göre ev sahibi takımın durumu eşitlemesi, atılan golün geçersiz sayılması gerektiğini savunan Energetic oyuncularını sinirlendirdi.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"After the referee sent off two players from the guest squad for 'unsporting behavior', he was attacked by several players.
","Hakem, iki oyuncuyu 'sprotmenlik dışı davranış' sebebiyle sahadan attıktan sonra birkaç oyuncu tarafından tartaklandı.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"The incident quickly erupted into a brawl involving the both squads and then into total chaos as crowds of Istaravshan fans invaded the pitch.
","Kısa süre içinde olay alevlenerek her iki takımın da içinde bulunduğu büyük bir kavgaya dönüştü ve Istaravshan taraftarlarının da sahaya inmesi ile tam bir kargaşaya dönüştü.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Match officials then had to call off the game.
","Maç yetkilileri oyunu sonlandırmak zorunda kaldı.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Netizens in Tajikistan were quick to react to the incident.
","Tacikistan'daki internet yazarları olaya yorum yapmakta gecikmedi.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Jasur Ashurov (@jashurov) tweeted :
","Jasur Ashurov (@jashurov) Tweeter'da şöyle yazdı :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"@jashurov: Football in Tajikistan is more than just Football...
","@jashurov: Tacikistan'da futbol, futbolun ötesinde birşey...
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"It looks like they sent boxers instead of football players to this match.
","Görünüşe göre oyuna futbolcu değil, boksör yollamışlar.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Shame!
","Utanç verici!
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"He added later:
","Daha sonra şunu ekledi :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"@jashurov: But at least our referees know well that they shouldn't favor teams.
","@jashurov: En azından bizim hakemlerimiz takım tutmamaları gerektiğini iyi biliyorlar.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"In football, you get punished by people for that!
","Futbolda bunun cezasını halk verir!
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Blogger Beparvo wrote :
","Blogcu Beparvo şunu yazdı :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"This is a shame for all of Tajikistan.
","Bu olay bütün Tacikistan için bir utanç kaynaği.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Even without this, we are portrayed all over the world as paint brushes and trowels, and now we shame ourselves even more.
","Zaten bütün dünya tarafından boya fırçaları ve sıva malaları olarak tanınıyorduk, şimdi kendimizi daha da utandırdık.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"How is it possible that a High League game ends in such a mess?
","Yüksek ligdeki bir oyun nasıl böyle bir rezillik içinde sonlanabilir?
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Why do football players believe that this kind of behavior is permissible?
","Futbol oyuncuları neden bu şekilde davranmaya hakları olduğunu düşünüyorlar?
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"I don't understand why police couldn't do anything.
","Polisin neden duruma müdahale etmediğini anlayamıyorum.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Underneath the blogger's post, Rishdor commented :
","Blogcunun yazısının altına Rishdorşu şu şekilde yorum yaptı :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Football in Tajikistan is politics.
","Tacikistan'da futbol politikadır.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Who heads the Football Federation?
","Futbol federasyonunu kim yönetiyor?
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"President's son.
","Başkan'ın oğlu.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Whose football club always wins?
","Hangi futbol kulübü hep kazanıyor?
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"The club of the president's son.
","Başkan'ın oğlunun kulübü.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Too much politics.
","Aşırı politika var.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"And everyone knows that our referees can be bought and sold.
","Ve herkes biliyor ki bütün hakemlerimiz alınıp satılabilir.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"This is clear in every match.
","Bu her maçta çok açık bir şekilde belli.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Football players and fans are not idiots, they see everything.
","Futbol oyuncuları ve taraftarları akılsız değil, herşeyi görüyorlar.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"This is why they are all angry and ready to explode at any moment.
","Bu yüzden hepsi sinirli ve her an patlamaya hazırlar.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"But another user, Isfandiyor Zarafshoni, disagreed :
","Ama diğer bir kullanıcı, Isfandiyor Zarafshoni, buna katılmadı :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Politics has nothing to do with it.
","Politikanın bununla hiçbir alakası yok.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Out entire country is such a mess and there is nobody who would be able to bring about order.
","Bütün toplumumuz büyük bir düzensizlik içerisinde ve bizi düzene sokabilecek kimse yok.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Some netizens believe the latest incident will only make Tajik football more interesting.
","Bazı internet yazarları ise bu son olayların Tacik futbolunu sadece daha ilginç kılacağını düşünüyor.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Tomiris (@tomiristj), for example, tweeted :
","Tomiris (@tomiristj), örneğin, Tweeter'da şöyle yazdı :
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"@tomiristj: But now our football will gain in terms of entertainment :).
","@tomiristj: Ama şimdi futbolumuz eğlence anlamında değer kazandı :).
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"Everybody will want to attend football games if such incidents happen there every time.
","Bu tarz olaylar her seferinde yaşanırsa, herkes futbol maçlarına gitmek isteyecek.
",2012_11_09_football-game-in-tajikistan-ends-in-massive-brawl_
"A Girl Child Worker from Yemen · Global Voices
","Yemen'de İşçi Bir Kız Çocuğu
",2012_11_05_a-girl-child-worker-from-yemen_
"Yemeni Noon Arabia shares this photograph taken by Ameen Alghaberi of a child worker in Yemen on Twitter.
","Yemeni'li Noon Arabia, işçi olarak çalışan bir kız çocuğunun Ameen Alghaberi tarafından çekilen bu fotoğrafını Twitter'da paylaştı.
",2012_11_05_a-girl-child-worker-from-yemen_
"Yemeni Noon Arabia shares this photograph taken by Ameen Alghaberi of a child worker in Yemen on Twitter.
","Yemeni'li Noon Arabia, işçi olarak çalışan bir kız çocuğunun Ameen Alghaberi tarafından çekilen bu fotoğrafını Twitter'da paylaştı.
",2012_11_05_a-girl-child-worker-from-yemen_
"Iran's Most Memorable Internet Moments in 2012 · Global Voices
","İran'da 2012 Yılının Unutulmayan İnternet Anları
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"As usual, Iranian netizens have faced many challenges in 2012.
","Her zaman ki gibi, İranlı internet kullanıcıları 2012 yılında da bir çok zorlukla mücadele ettiler.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"They have seen online repression grow and become more institutionalized with the launch of an official cyber police force.
","İnternet üzerindeki baskının artışını ve resmi internet polisinin kurulmasıyla, bu baskının kurumsallaştığını gördüler.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"In turn, they have defied the Islamic regime in various ways throughout the year, such as by filming streets protests, reporting on the failures of government-run institutions, and campaigning for political prisoners and environmental issues.
","Buna karşılık olarak, şeriat rejimine yıl boyunca, sokak protestolarını kameraya kaydetmek, devlet kurumlarının başarısızlıklarını ifşa etmek, siyasi tutuklular ve çevre sorunları için kampanyalar düzenlemek gibi eylemlerle karşı koydular.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Below are some of the most memorable moments from the Iranian cyber world in 2012.
","Aşağıda İran'ın 2012 yılında siber alemindeki en önemli anlarını görebilirisiniz.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"The regime continued its repressive and merciless tactics against bloggers and netizens all year.
","Rejim yıl boyunca bloggerların ve internet kullanıcılarının üzerindeki acımasız ve baskıcı tutumunu devam ettirdi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"It began with the repression of bloggers and ended the year by killing one of them.
","Yıl, bloggerların baskı altına alınması ile başladı ve içlerinden birinin öldürülmesi ile sona erdi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Bloggers in Chains
","Kelepçeli Bloggerlar
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Sattar Beheshti, a blogger who was tortured to death
","Sattar Beheshti, a blogger who was tortured to death
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"There are many brave cyber activists in Iran, but there is one name that shines brighter than others and marked 2012: Sattar Beheshti, 35, was a blogger from Robat-Karim, south-west of Tehran, who was arrested for criticizing the government in October and tortured to death in Evin prison.
","İran'da bir çok cesur siber aktivist varö fakat içlerinden birinin ismi diğerlerinden daha fazla öne çıktı ve 2012'ye damgasını vurdu: Sattar Beheshti, Tahran'ın güneybatısında ki Robot-Karim köyünden 35 yaşında bir bloggerdı, ekim ayında devleti eleştirdiği için tutuklandı ve Evin Cezaevi'nde işkence ile öldürüldü.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Iranian netizens launched a major online storm after the shocking news of Beheshti's death, and according to officials in Tehran Iran's top cyber police chief was sacked as a result of the death.
","Beheshti'nin şok eden ölüm haberinden sonra, İranlı internet kullanıcıları nette büyük bir fırtına kopardılar ve Tahran'da ki resmi yetkillilerin söylediğine göre İran'ın internet polis şefi, işkenceyle ölümün sorumlusu olarak görevden alındı.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"In January, we learned that a 50-year old Iranian blogger, Mohammad Reza Pour Shajari (aka Seyamek Meher), was charged with “insulting the Prophet of Islam” and “enmity with God” or “waging war against God”, charges that could carry the death penalty in Iran.
","Ocak ayında, 50 yaşında ki İranlı blogger Mohammed Reza Pour Shajari'nin (Seyamek Meher olarakta biliniyor), ""İslam'ın peygamberini aşağılamak"" ve ""Allah'a düşmanlık"" ya da ""Allah'a karşı savaşı kışkırtmak"" gibi suçlamalara maruz kaldığını ve bu suçlamaların İran'da idam ile cezalandırıldığını öğrendik.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"His trial on December 21, 2011 lasted only 15 minutes.
","21 Aralık 2011 tarihindeki dava sadece 15 dakika sürdü.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"According to Reporters Without Borders, 18 netizens are still imprisoned in Iran and it seems no virtual activity is safe in the country as cyber police ""proudly"" announced several times that it arrested various Facebook administrators.
","Sınır Tanımayan Gazetecilere göre, 18 internet kullanıcısı hala tutuklu halde ve hiçbir sanal eylem güvenli gözükmüyor, zira internet polisi bir çok sefer ""gururlu"" bir şekilde çeşitli Facebook kullanıcılarını tutukladığını duyurmuştu.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Even one blogger favorable to President Mahmoud Ahmadinejad faced a jail sentence, and several others were censored as rivalries between governing factions has grown.
","Hatta Başkan Mahmud Ahmedinejad yanlısı bir blogger bile tutuklanarak hapse kondu, ayrıca diğer bir çok kişi devlet içindeki büyüyen muhalefet yüzünden sansürlendi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Big Night
","Büyük Gece
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Bloggers, like millions of Iranians, celebrated when Asghar Farhadi's feature film ""A Separation"" won Iran's first Oscar award.
","Bloggerlar, milyonlarca İranlı gibi, Asgar Ferhadi'nin ""Bir Ayrılık"" filminin aldığı Oscar'ı kutladılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Netizens participated in an outpouring of celebration, and some fans also created posters for “A Separation” for different tastes.
","İnternet kullacıları da kutlamalarda yer aldı, ve bazı hayranlar farklı ""Bir Ayrılık"" posterleri tasarladılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"They also criticized pro-regime Fars News when it embellished on Farhadi's Oscar acceptance speech and changed his words to: ""Iranian people respect all cultures despite the western hostility with Iranian nuclear program.""
","Ayrıca rejimin kanalı Fars News'i Ferhadi'nin Oscar konuşmasını şu şekilde süslediği ve değiştirdiği için eleştirdiler: ""İran halkı İran'ın nükleer programına düşmanlık gösteren batının dışında ki tüm kültürlere saygı duymaktadır.""
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Israel-Iran Virtual love affair
","İsrail-İran Sanal Aşk İlişkisi
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Israelis and Iranians exchanging messages of love sounds stranger than fiction in these tense years, when the Iranian and Israeli governments threaten each other with military might.
","İran ve İsrail hükümetleri birbirlerini askeri göçleri ile tehdit ederken, İsrailliler ve İranlılar gergin zamanlarda birbirleriyle aşk mesajları paylaştılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"An Israeli Facebook campaign that said “We will never bomb your country.
","İsrailli bir Facebook şirketi “Asla ülkenizi bombalamayacağız.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"We love you” to Iranians, received an answer from Iranians in the form a corresponding Facebook campaign that said to Israelis, “We are your friends.”
","Sizi seviyoruz.” şeklinde bir mektubu iranlılara gönderdi, ve cevaben iranlı bir Facebook grubundan, “Biz sizin dostunuz.” yazan bir mektup aldılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Strike in Tehran
","Tahran'da Grev
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Demonstrations and strikes were rare in 2012 but when they happened, cyber activists were there to report.
","2012'de grev ve gösteriler azınlıkta olsa da, siber aktivistler bilgileri aktarmak için oradaydılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Shopkeepers went on strike at the Bazaar in Tehran in early October as Iran's financial situation deteriorated due to international sanctions.
","Ekim başlarında Tahran Pazar'ında ki esnaflar uluslararası kısıtlamalar yüzünden kötüleşen İran ekonomisini protesto ettiler.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Protesters clashed with security forces in Istanbul Square in Tehran and chanted “Down with Syria!”.
","Protestocular Tahran'da ki İstanbul Meydanı'nda polisle çatışarak “Suriye İle Beraber Sen de Yıkıl!” sloganları attılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"This slogan was most likely inspired by the fact that many Iranians blame the Iranian government for (allegedly) supporting the Syrian regime financially at a moment when their own country is in need of cash.
","Bu sloganın sebebi İran hükümetinin kendi ülkesinin paraya ihtiyacı varken el altından Suriye rejimine finansal destek vermesiydi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Supporting Political Prisoners
","Siyasi Tutuklulara Destek
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Bloggers campaigned and supported several political prisoners including Nasrin Sotoudeh, jailed human rights activist when she went on hunger strike.
","Bloggerlar, açlık grevi yaparken tutuklanan insan hakları aktivisti Nasrin Sotoudeh'i de içeren bir çok siyasi tutukluiçin kampanyalar düzenleyip onlara destek verdiler.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Finally after 49 days of hunger strike, the government lifted a travel ban imposed on Sotoudeh's teenage daughter.
","49 günlük açlık grevinin sonucunda, devlet Sotoudeh'in 13 yaşında ki kızına uygulanan seyahat yasaşını kaldırdı.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Controlling Internet
","İnterneti Kontrol Etmek
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Islamic State continues its ""crusade"" to control more and more the Iranian internet world.
","İslam Devleti İran'ın internet dünyası üzerindeki haçlı seferini sürdürüyor.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"On Sunday, September 23, 2012, the regime surprised many by filtering Google and Gmail for a short period of time.
","On Sunday, 23 Eylül 2012, pazar günü rejim Google ve Gmail'i kısa süreliğine sansürleyerek birçok kişiyi şaşırttı.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Regime called its decision based on a request by the public to oppose an anti-Islam film on YouTube.
","Rejim bunun gerekçesinin ise Youtube üzerindeki bir İslam karşıtı film olduğunu belirtti.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Many interpret this filtering as another step towards controlling the internet or launching ""clean internet"" as was promised by Iranian officials earlier in 2012.
","Birçokları bunun interneti kontrol etmek ve İranlı yetkililerin 2012 başlarında sözünü verdiği ""temiz"" internet için atılmış bir adım olduğuna kanaat getirdi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Having the infrastructure for a skeleton Iran-only Internet in place would give the Iranian government greater power to shut off access to the Internet at times of civil unrest.
","Sadece İran temelli bir internet yetkililere herhangi bir sivil ayaklanma sırasında internet erişimini kolalıkla engelleme gücü verecektir.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Beyond Politics
","Siyaset Dışı
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Iranian netizens did not focus only on political issues but also covered several environmental and humanitarian issues:
","İranlı internet kullanıcıları sadece siyasi konulara değil, bir çok çevresel ve insani soruna da değindiler:
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Saving a Lake - On May 21, 2012, once again people in Urmia and several other cities in the Azerbaijan region of Iran called on the government to save the dying Lake Urmia, one of the world's largest salt water lakes.
","Bir Gölü Kurtarmak - 21 Mayıs 2012'de, bir kez daha Urmiye ve İran'ın Azerbaycan bölgesinde ki bir çok şehrindeki diğer insanlar, devleti dünyanın en büyük tuz göllerinden Urmiye Gölü'nün kurumasını engellemesi için göreve çağırdılar.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Blood Donations - Two powerful earthquakes hit the northwest region in Iran, East Azarbaijan province on August 11, killing 250 people and injuring around 1,800.
","Kan Bağışları - 11 Ağustosta İran'ın Doğu Azerbaycan bölgesi iki büyük depremle sallandı ve 250 kişi öldü, yaklaşık 1800 kişi yaralandı.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"The earthquakes measured 6.4 and 6.3 in magnitude, leaving a trail of destruction and suffering.
","Geride büyük bir yıkım ve acı bırakan, depremlerin büyüklüğü 6.4 ve 6.3 olarak ölçüldü.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Iranians flocked to the Internet to mourn the victims and to appeal for blood donations and help.
","İranlılar hayatını kaybedenleri anmak ve yardım etmek için internete koştular.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Empty Pockets for Healthcare - Arseh Sevom reported on the immediate results of unprecedented sanctions on the lives of millions of patients in Iran.
","Sağlık Sigortası için Boş Cepler - Arseh Sevom İran'daki milyonlarca hasta üzerinde eşi benzeri görülmemiş yaptırımlar uygulandığını bildirdi.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"""There is not a single day when we do not hear a new story about medicine shortages in Iran and how it adversely affects Iranians, especially those requiring uninterrupted medication,"" writes the human rights organisation.
","""Tek bir gün dahi yok ki İran'da ilaç kıtlığı yaşanmasın ve bu kıtlık İranlıları, özellikle sürekli ilaç kullanması gereken İranlı hastaları etkkilemesin"" diye belirtti insan hakları örgütlerine.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"We approach 2013 as a challenging moment for all Iranians with an upcoming presidential election and growing despair due to sanctions.
","2013 yılına girerken İranlılar için gelecek başkanlık seçimleri ve yaptırımlar yüzünden artan ümitsizlikle ile zorlu bir yıl onları bekliyor olacak.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"Cyber activists have played a crucial role in reporting and commenting, transcending both political correctness and repression.
","Siber aktivistler yaptıkları yorumlar, paylaştıkları haberlerle, politik doğruları ve yanlışları bildirmede kritik bir rol üstlendiler bu yıl.
",2012_12_27_irans-most-memorable-internet-moments-in-2012_
"After 15-year Trial in Turkey, Pınar Selek Sentenced for Life · Global Voices
","15 Yıl Süren Dava Sonucunda, Pınar Selek Müebbet Hapis Cezası Aldı
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Pınar Selek, a Strasbourg-based sociologist and a writer, previously accused of bombing the Istanbul Spice Bazaar in 1998, has been sentenced to life in prison in Turkey.
","1998 yılındaki Mısır Çarşısı patlamasının sorumlusu olarak gösterılen ve hali hazırda Strasbourg'da yaşamakta olan sosyolog yazar Pınar Selek , ömür boyu hapis cezasına çarptırıldı.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"The final verdict was delivered on January 24, 2013.
","If she returns to Turkey, she will be arrested by the police.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"During her nearly 15 year-long trial, she was acquitted three times.
","15 yıllık dava boyunca Selek, üç kez beraat edildi.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Selek's first arrest
","Selek'in ilk tutuklanışı
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Selek's long journey with the Turkish Judicial System began on July 11, 1998, just two days after the explosions at the entrance of Istanbul's Spice Bazaar.
","Selek'in Türk yargı sistemi ile olan uzun yolculuğu, Mısır Çarşısı'ndaki patlamadan sadece iki gün sonra, 11 Temmuz 1998'de başladı.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"The explosion killed seven and wounded approximately 100 people.
","Patlamada yedi kişi öldü ve yaklaşık 100 kişi yaralandı.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Despite suspicions regarding the cause of the explosion being caused by a PKK (Kurdistan Workers' Party) bombing, six investigative reports indicated that the explosion was not due to a bombing or terrorist attack.
","Şüpheler, patlamayı PKK'nın (Kürdistan İşçi Partisi) gerçekleştirdiği ğzerine yoğunlaşsa da, yapılan altı incelemenin raporları patlamanın bombalama veya terörist saldırı sonucu olmadığını gösterdi.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Things started to get interesting after this.
","Fakat olaylar bundan sonra ilginç bir hal aldı.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Pınar Selek was arrested two days after the explosion; authorities assumed that she was a member of PKK.
","Pınar Selek patlamadan iki gün PKK üyesi olduğu gerekçesiyle tutuklandı.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
"Another suspect, Abdülmecit Öztürk, was arrested around two weeks after Selek and confessed that they had planned and carried out the bombing together.
","Bir başka şüpheli, Abdülmecit Öztürk ise, Selek'den iki hafta sonra tutuklandı ve ifadesinde bombalamayı beraber planlayıp, gerçekleştirdiklerini itiraf etti.
",2013_01_27_pinar-selek-issused-a-lifetime-imprisonment-after-15-year-long-trial_
