en,tr,split
"These two types of weapons differ in overall size, barrel length, rate of fire, bullet caliber and in particular the effective range (dozens vs hundreds of meters).",bunlardan biri ol andrej babij hem başbakan yardımcı hem de maliye bakan ol en güç iki günlük gazete sahip,train
"The word was originally derogatory, a term used to refer to indigenous women who moved to the city and adopted the lifestyle of urban mestizos, but now refers to the women born in La Paz who embrace their indigenous identity.",kelime aslında şehir terk et kırsal melez yaşam tercih et kadın tanımla aşağıla bir kelime fakat şimdi la paz doğ gelenek sahip çık kadın tanımla,train
When we should be making politicians lives a living hell we’re bothered with all sorts of myopic issues .,politikacılara hayat cehennem çevir yer böyle ufak konu uğraş,train
"GV: Speaking of other writers, who inspires you?",gv: diğer yazar bahset siz hangi ilham ver,train
"Gharib, a reader of the service wrote:",hizmetin bir okur ol gharip yaz,train
Heartfelt prayers and condolences for the families of all those who were killed in an attack on a church in Quetta.,ketta'daki kilise saldırı öl aile en içtenlik dua gönder ve başsaklık dile,train
@AbirKopty: We were ready to the eviction order so along with building #BabAlShams we went to the court & got suspending order!,boşaltma karar ýbabaslamsı kur hazırlık mahkeme git ve boşal yasakla karar al,train
An official death due to the Ebola virus has been reported in Lagos.,lagos'ta ebola virüs neden ile bir ölüm bil,train
"In neighbouring Nghệ An Province, locals took their demonstration to the sea.",komşu il ngh an yerel halk gösteri deniz taşı,train
"I am keeping my eyes open and suffering, instead of closing my eyes and being unhappy.",gözümü yum mutsuz ol için göz aç acı çek,train
Every nationality has its festival heritage which brings the nation together.,her millet ulus bir ara getir festival miras vardır,train
"Founded in 1991, Achour Development will be developing its “Eden Rock Resort” on the Ramlet El Bayda beach.",1991'de kur achour development ramlet el bayda sahil heden rock resortuf geliş,train
She led the NRM party's sole candidature campaign which saw Museveni running for re-election in 2016 without being challenged in the party primaries.,nrm parti museve 2016 önseçim hiç zorla yeniden seçim kat tek aday seçim kampanya yürü,train
I truly hope they don't see that video.,o video gör içtenlik um,train
But improving the situation of the bakwit (evacuees) seems a bigger challenge for local leaders who are now assessing the impact of martial law and the attacks of the Maute group.,fakat tahliye et büyü durum sıkıyönetim ve maute örgüt saldırı bedel öde ol yerel yönetim için daha büyük bir sorun gibi görün,train
*Deadly blast rocks Yemen military base.,*ölümcül saldırı yemen askeri üs sars,train
"Young video artists from Macedonia tackled the issue of free speech through a series of short videos, which were produced as part of an open competition and screened during the French Film Festival in Skopje.",the festival and the competitio are part of the longjher cultural cooperatio between france and macedonida,train
And real-time news DJ Andy Carvin reminded his 103K followers of the difficulties journalists face in the field on a daily basis:,ve gerçek zaman haber sunucu andy carvi 103 bin takipçi gazeteci saha her gün karşılaş zor hatırla,train
"In this country all these illegal killings have been taken for granted, every death is an isolated incident.",bu ülke tüm bu yasa dış ölüm hafif al her ölüm münferit bir vakaf,train
"I called him, he's not answering.","aradım, ama telefon cevap ver",train
Schools which were to open this week have been further shut down for two weeks more.,bu hafta aç ol okul iki hafta daha kapa,train
"In new #ISIS propaganda video, John Cantlie visits a school in Aleppo - empty of girls. http://t.co/T91nw3m0vN pic.twitter.com/cIvzJSZXFE — joanne mariner (@jgmariner) February 10, 2015",yeni wisis propogan vidyo john cantlie halep bir okul git - kız yoksun,train
"Author Jonathan M. Katz, who has written a book documenting the United Nations response to the 2010 earthquake that devastated Haiti, explained that Haiti's standard of living is lower than that of the U.S. as a direct result of historical American policies towards the Caribbean country:",2010 yıl meydan gel hait deprem birleş millet yap kalem alan yazar jonathan m. katzi hait hayat standart abd daha düşük ol sebep amerika bu karayip ülke yönelik eskiden beri uygula politika ol açıkla,train
"In an article in the newspaper El Salto, feminist activist Ana Burgos, who is from the region of Andalusia but lives in Catalonia, wondered, ""What is an Andalusian doing defending anything here, with all the Andalusphobic rubbish that I put up with every day"":",feminist aktivist kimlik ana burgos el salto gazete yazı hher gün katla zor ol endülüs saçmalık hiçbir şey savun endülüs bura ne yap soru merak et gör,train
Serbian press freedoms continue to decline,sırbistan'da basın özgür git azal,train
"In comments on Facebook posted early Tuesday, Das slammed the local member of parliament from the ruling Awami League party for criticising one of the country's top secular and science fiction writers.",önceki salı facebook yap yorum dasd ülke en iyi laik ve bilim kurgu yazar eleştir için iktidar awami leagu parti milletvekili veryansın et,train
16) Do not report sexual harassment of it happened in a deserted area.,16) kimse ol yer ol yine cinsel taciz bil,train
"The nuclear blast yield of the latest hydrogen bomb test, according to Norwegian Seismic Array’s estimation, is up to 120 kilotons, which is the strongest of North Korea's six nuclear tests and more powerful than the two nuclear bombs dropped on Japan's Hiroshima and Nagasaki by the US during World War II.",norveçli sisim array tahmin göre bomba 120 kiloton ağırlık ki bu kuzey kore altı nükleer test daha güç ol anlam gel ve abd 2,train
"Since the words are already being stretched , wasn't the intent to say ""hopeless countries""?",bu kelime fark nokta çek fakat asıl amaç hümit ver ülke de değil mi,train
"Keszthelyi found himself in the middle of a whole movement, when Ferenc Falus, the National Medical Officer threatened him with a fine of HUF 1 million and the withdrawal of his license, because he refused to administer the state-provided flu vaccines for free.","keszthelyi, hükümet aşı ücret bir şekil insan yap reddet para ceza ve doktor lisans geri alın tehdit ile karşı karşı kal ve kendi tartış orta bul",train
"Juan Tadeo, our authority on all things Mexico would be Хуан Тадео in Cyrillic.",meksika'daki yetkili jua tadeo isim kiril 80x6 w&xchier,train
February:,şubat:,train
"Far worse than that, however, was the fact that we wouldn’t even be able to live together in Qatar.","ancak, bu daha kötü katar birlikte yaşa gerçek",train
"This continues into university, where Saqafat-e-Islami (Islamic Culture) is a compulsory subject in all eight semesters of a four-year bachelor degree.",saqafat-e islami islam kültür ders dört yıllık bir lisans bölüm sekiz dönem boyunca da zorunlu tut,train
"This is a robbery!"": Protests Continue in Spain · Global Voices","bu bir soygundur"""" ispanya protesto devam et",train
"As I see it, Lagos will be the first state to legalise gay marriage in Nigeria.",bana kal lagos eşcinsel evlilik yasa ilk eyalet ol,train
Chinese authorities can’t take a joke,çinli yetkili şaka yap,train
Sudhir Kekre remembers the Eid food delicacies:,ramazan bayram ye ilgi anı hatırla,train
We had publicity contracts with the municipality of Múgica to do the job that all administrations must do: inform citizens.,m❓gica vilayet ile tüm yönetim yap gerek bir şey üzer anlaşma var insan bilgi,train
When and for whom?,ne zaman ve kim iç,train
Iran's recent crackdown on the Ahwazi and other minority groups,iran'ın ahvaz ve diğer etnik azınlık yap son kısıtla,train
Images remixed by editor.,görüntüler editör taraf düzenle,train
"Meanwhile, over 8,000 people descended on the People’s Committee Building in Lộc Hà district of Hà Tĩnh Province.",bu ara hh txnh eyalet llc h& bölge halk komite bina 8 bin üzer insan in,train
"All of the above is true of the current by-election campaign taking place in a rural parish, which has national implications and added significance because of the one-seat majority of the incumbent Jamaica Labour Party in parliament.",mecliste jamaika işçi parti aday tek koltuk çoğunluk el et üzer ulusal önem kazan mevcut ara seçim kampanya için bu mahalle yukarı belir hepsi geçerli,train
"In 1942, as Nazi Germany bombarded Russia's second city, now called St. Petersburg, 16-year-old Altybasarova, who died last week on June 11, spared the evacuees from hunger and hosted them in a dormitory for local factory staff in her remote home village of Kurmenty, northeastern Kyrgyzstan.",nazi almanya 1942 yıl şimdi ad st.peterspori ol rusya ikinci en büyük şehir bombardırma tutarkend geç hafta 11 haziran yaşam yit zaman 16 yaş altyabarasıv kuşat tahliye et kuzeydoğu kırgızistan bulun küçük köy yerel bir fabrika işçi yatakhane barın ve açlık kurtar,train
Zeman lubricated with Becherovka got a gun loaded with Becherovka.,becherovka dolu bir silah ile becherovak dolu bir zeman,train
The 35-year-old Beheshti was a day laborer from a lower-income neighborhood outside of Tehran.,35 yaş beheshit tahran dış düşük gelir aile yaşa bir mahalle gündelik işçi ol çalış,train
And here's his masterpiece:,ve işte başyapıt,train
Brazilian tear gas has been used since the beginning of the protests in Istanbul on May 31.,brezilya yapım biber gazıd istanbul 31 mayıs gün öyani protesto başlangıç beri kullan,train
"It is estimated that more than half of all working age males seek jobs abroad, overwhelmingly in Russia.",tahminlere göre iş çağ erkek yarı fazla ağırlık rusya ol üzere yurt dış çalış iste,train
A petition co-signed by a group of university professors and scholars argued that the changes will end up weakening the Legislative Council’s power to counter-check the government:,bir grup üniversite profesör ve araştırmacı bir ara gel değişik ilişkin bir dilekçe imzala,train
There is every likelihood this phenomenon will be disrupted if schoolchildren are exposed to the Latin alphabet from an earlier age.,okul yaş çocuk latin alfabe öğret bu durum yok ol kesindir,train
"Instead they've been given these: pic.twitter.com/BSJ852r5mR — Max Blumenthal (@MaxBlumenthal) August 16, 2014","yerine, bu ver picft/rictoriston [ max blumentant ömmagolesman 16 ağustos 2014",train
"Despite other great qualities, or perhaps because of them, Afghans are never on time.",diğer tüm harika özellik rağmend ya da belki o yüz afgan hep gecik,train
"Probably it didn’t have that motive at the beginning, but the results show something completely different.",ama öyle başla da son çok fark ol,train
International trademarks are often abused in ex-Soviet Central Asia.,eski sovyet orta asya bölge ulus şirket sık kötü kullan,train
Per was one of the people involved in the To Gaza march – as was Travis Randall – but other foreigners on that march have been in and out of Egypt since then without problems.,per jttravis randall gibi hgazzeyeh yürü kat insan ama diğer yabancı mısır gir ve çık sorun yaşa,train
"He did his time, now let's celebrate his prize. — Lila A (@lila_afiouni) July 17, 2015",bu sefer yap şimdi ödül kutla,train
Recently there has been a lot of discussion about sexual abuse laws.,son zaman cinsel taciz yasa konu birçok tartış yaşa,train
"DIY, which bills itself as a bar for alternative thinkers, was frequented by many in Armenia’s gay community, a place considered a safe haven, free of judgment or discrimination.","the violent actd which caused around 44,000 of damage according to wellinchorid sources is being said to have been motivated by nationalistoi and fascist ideolog & the barfs gayöfriyent atmosfer as well as owner tsomak oganesovasy attendance at istanbuls gay prid parade in neighorbisg turkey have been cited as two key factors that have categorized the attack as a hate crimed",train
The news was echoed on Twitter:,haberler twitter yankıla,train
The Minya riots left one police officer dead - a crime all 529 defendants are accused of.,el minye ayaklan bir polis memur ölüm yol aç 529 sanık suçla bir vukuat,train
"I told you not to enter there, and you said; 'I have to do it, what else I can do my sister, this is private sector they do not give insurance without working'.",sana wigirme de,train
Does the defense against the new flu really worth 6 billion forints for a society?,yeni grip için savun toplum malolan 6 milyar forint değer mi,train
"The changes to the Council’s house rule could have a direct impact on a series of upcoming bills that potentially curb Hong Kong people’s rights and freedoms, university professor Sing Ming argued, quoting a comment from his friend on Facebook:",üniversite profesör sing ming facebook bir arkadaş yorum alıntı yap meclis iç yönetmelik ilişkin değişik hong kong halk hak ve özgür potansiyel ol zapt et gel tasarı dizi üzer doğrudan bir etki ol ileri sür,train
"Participants of the initiative have been expressing their commitment to live together with their peers from different ethnic groups by providing translations of the call, and also by producing various other works.",( bu gelenek ingiliz nefret ceza sistem nefret ve suç ol nitelen,train
"Now, more complex and lavish dishes like Biryani, a Mughal cuisine, is being increasingly chosen for menus.",şimdi ised mughal mutfak gibi daha zahmet ve paha yemek oldukça revaç,train
But why are movie theaters being closed down?,ama sinema salon neden kapa,train
You can also learn more by visiting its Facebook fan page.,film hak daha fazla bilgi facebook hayran sayfa eriş,train
Image by Sanjeev Syal.,görüntü: ssanjeve syal.,train
"He added, “Now I have to come back to Quetta some other day and this is huge mental stress for me.”","ve ekle , hþim ketta başka bir gün yeniden gel gerek ve bu ben için aşırı yor bir şey.",train
"The effects of the nuclear fallout are still being felt: more than 500,000 people in Belarus, the country most affected by the disaster, have thyroid problems stemming from Chernobyl radiation, and more than 2 million people live in areas of the country that put them at high risk of contamination.",nükleer atık etki hala hisset facia en çok etkile ülke belarus çernobil radyasyon neden 500.00 fazla kişi tiroit problem yaşa 2 milyon fazla kişi i yüksek bulaş derece bölge bulun,train
"""Just because it's the literal equivalent doesn't mean it's the right word to use if you are aiming for some kind of literary effect,"" she says.",edebi bir etki yarat amaçla kelime sadece birebir eşdeğer ol o kullan doğru kelime ol anlam gel diye belir,train
"Pristine reef of staghorn coral with juvenile batfish in Wayag Lagoon, Raja Ampat.",el değ stagron mercan resif ve yavru ephippida balık wayag lagun raja ampat ada,train
"An educational discourse that is confined to ""how to protect yourself"" – and gives PLWHA the role of vector – will only reinforce alterity and serophobia.",salt hkendi nasıl koru ile sınır ve plwha hastalık taşı rol yükle eğitsel bir söylem öteki ve serofobiyi yalnızca pekiş,train
Social media users blasted the minister's statement:,sosyal medya kullan bakan açıkla büyük tepki göster,train
"Use a tree instead of your photo…A piece of wood, a table…Use an image of a monkey, a female dog or a jennet …May Allah curse their empty turbans!",kendi fotoğraf yer bir ağaç resmi kullanber,train
10:45 am.Credit: La Gente Anda Diciendo/Facebook,fotoğraf: la gente an diciendowsponavek,train
"One part of the ""enormous debate"" mentioned by Observer is between the authorities and general practitioner doctors.",tartışmanın diğer taraf ised observer anla üzere yetkili ile pratisyen hekim var,train
I wish you were as active in dealing with people's problems as you are in fighting against beards.,dilerdim ki sakal ile kavga et bu insan sorun ilgilen,train
*Airstrikes in Yemen kill 6 Al-Qaida suspects.,*yemen'deki hava saldırı 6 el kaide öl,train
Such a shame that it was only his death that brought it about.,bu adalet yaşa hep haramdır,train
"“I’m not going to use Donald Trump’s word today — not because I never use bad language, but because the people of Haiti and elsewhere deserve respect.” —@patkiernan on @NY1 #MorningsOn1 — Jamie Stelter (@JamieStelter) January 12, 2018",donald trump kullan tabir ben kullan,train
Waited in the queue for the tickets and manged a seat in front of the screen.,sırada bekle ve film sahne ön ilk sıra izle,train
And Jousha Foust tells his 17K followers:,ve jousha foust 17 bin takip iletiyoro,train
"Lima Orchid, a Flower Once Believed to Be Extinct, Blooms Again in the Peruvian Capital · Global Voices",neslinin tüken inan lima orkide peru başkent yeniden çiçekle,train
"We prayed so that everything would be well with these drivers and we urged them to pay attention on the road and to abide by the rules,” the imam, Alipbai Boroshbayev, told EurasiaNet.org.",sürücüler için dua et ve yol dikkat ol kural uy teşvik et de,train
Politics and politicians must stay ahead of technological progress and find timely solutions before technology has created a new reality.,politikalar ve politika teknoloji geliş ileri ol ve teknoloji yeni bir gerçek yarat önce yer çözüm üre,train
"Eastern Visayas is composed of the three main islands Biliran, Leyte, and Samar, which are the easternmost islands of the central Philippine island group of Visayas.",doğu visayas filipin merkez visayas bölge en doğu yer alan bilirand ley ve samar ada ol üzere üç ana ada oluş,train
"In 2015, breath-taking videos showed elated Syrian women ripping off Islamic garments after escaping persecution under ISIS, a public outpouring of ecstasy that captured the world's attention:",2015'de nefes kes videolar suriye kadın işit işkence kaç sonra islami kıyafet parçala at tüm dünya dikkat çek bir halk coşku göster,train
Photo by PPIimages on 1 August 2011.,fotoğraf ppiimages taraf 1 ağustos 2011 çek,train
"One man, however, said that the cleric's words ""are beautiful and represent true Islamic thinking.""",ne var ki bir adam vaiz söz bgüzel ve gerçek islamcı düşünce yansı söyle,train
"What we expected was for the rain to pour and winds to howl, we thought work would be suspended for a day or two and some roads impassable due to slight debris pile up.",yağmurun dök fırtına dönüş düşün iş bir iki gün boyunca tatil ol düşün ve hafif döküntü neden geç bazı yol yıpran,train
"Community guards or self-defense groups (which are becoming more common in Mexico given the ""war"" against drug trafficking), as well as several groups involved with organized crime, operate in the state.",halk muhafız veya meşru müdafa örgütlürişceşitir kaçak karşı hifavaş dolayısıyla gittikçe yaygın ile organize suç eylem bulun çeşit örgüt de eyalet içeri faaliyet devam et,train
"Translation: ""I don't wanna be a princess.",çeviri: hben bir prenses ol iste,train
He has ruled Uganda for 31 years and is ineligible to stand for another term in 2021 as he will be above the age limit of 75 set by the country's constitution.,31 yıl boyunca uganda yönet museve ülke anayasa belir üzere yaş sınır ol 75 geç dolayı 2021 yıl bir dönem için daha aday ol,train
What is the position of Armenia president?,we need urgent answers as the conseuesyone of this could be enormous damaging for the reputatio of armenia suggesting support for neonzai and firebobemsi in the very heart of state structuser,train
"I must make it very, very clear, that if we run short of medicines, we will continue making noise, irrespective of the ministerial orders in place.",açıkça belir kid eğer ilaç azal başla bakan düzey emir bak ses yüksel devam et,train
Magdalene is the fruit of our vision of an online publication that offers fresh perspectives beyond the typical gender and cultural confines.,"magdalene, tipik toplumsal cinsiyet ve kültürel sınır öte yeni bak açı sun çevrimiçi bir yayın vizyon meyvesir",train
"They claimed that they have had to pay almost $400 for the services of the Botkin morgue in Moscow, where the body was transferred from the migration center.",bedenin göçmen büro taşı moskova botkin morguna neredeyse 4007 öde zor kal ön sürdüler,train
"In preparation for this holiday season, media outlets have also been instructed not to report any news related to Christmas, a celebration that the party feels is an unwanted reminder of China's historical humiliation by the West.",bu tatil sezon hazırlık basın kuruluş partinin çin batı taraf aşağıla hatırla düşün noel kutla ile ilgi haber yayınla doğrultu bilgi,train
"On the other hand, it came out that just one and half years ago, same miners held a protest and a strike that lasted two weeks, and mentioned that they could not get their deserved payments and they were made to work under really bad conditions.",diğer yandand aynı maden bir buçuk yıl önce iki hafta sür eylem ve grev yap ve maaş al kötü çalış şart şikayet et orta çık,train
Writer Terence Fernandez insisted that “the police should not only be looking into the claims of the breach of dress code but the fact that a child was possibly sexualised by an adult.”,yazar terence fernandez hpolis sadece kıyafet yönetmelik ihlal araştır yer bir çocuk muhtemelen bir yetişkin taraf cinsel gerçek de bak de ısrar bulun,train
We are the people.,biz halkız,train
"Treatment centers available in the region versus reported cases (via @aiddata, 01/07/2014)",bildirilen vaka karşın bölge mevcut tedavi merkez 801/////0xx tarih jaiddat aracılık ile,train
Water Is Life for Ecuador's Sarayaku People · Global Voices,ekvador'un sarayak halk için su hayat de,train
"With continued fighting and only 17% of basic needs being met, the situation of Myanmar's IDPs is particularly worrying, and they are in desperate need of greater funding and financial support.",hala sür çatış ve temel ihtiyaç sadece f1w karşıla miyanmar idp durum endişe ver ve daha fazla yardım ve mali destek için umut tüken,train
“We hope they grant this request and that my father is released soon.,"""umarım bu talep karşılık bul ve baba yakın sal",train
We want it and we can do it!,istiyoruz ve yap,train
"Life was put on hold for many residents, students, patients and commuters of Quetta city, when the Prime Minister of Pakistan and his entourage arrived in Balochistan province's capital last week.",geçtiğimiz hafta pakis başbakan ve beraber belucistan eyalet başkent gel ketta şehir sakin öğrenci hasta ve çalışan çoğu için hayat bekle kal,train
"In a 2016 interview, Greece's Secretary General for Gender Equality Fotini Kouvela recognized that, when it comes to violence against women, the country still has a long way to go:",2016'da gerçek bir mülakat yunanistan cinsiyet eşit genel bakan fotin kouvela konu kadın şiddet gel ülke daha katet gerek çok uzun bir yol ol belir,train
Fisher says the Harley-Davidson chapter in Dubai is a closely-knit community.,fisher dubai harleydasion grup birbiri kenetle bir topluluk ol söyle,train
"President of Kyrgyzstan, Almazbek Atambayev, said in a video message:",kırgızistan cumhurbaşkanı almazbek atambayev bir video mesaj şu söyle,train
"""And I have so for as long as I remember,"" she says.","""so on that end i was pretty confident.",train
"A Facebook page, ""We want a Nobel Peace Prize for Dr Denis Mukwege"", was created to that effect.","""dr. denis mukwege için nobel ödül iste ad bir facebook sayfa bu etki aç",train
"Kuchinoerabu eruption: evacuation of residents could last as long as one year; now an ""island of cows and potatoes.""",kuchinoerabu'da patla sakin geri dön bir yıl kadar sür ada şimdilik inek ve patates kal durum,train
A moment to acknowledge the immense treasures available to us..,muazzam hazine biz için mevcut ol anla için bir dakika,train
Professor and journalist Hugo Neira recalls the Venezuela he knew over the years and writes quoting his own old articles:,gazeteci profesör hugo neira yıl önce ki venezüyel anımsa ve eski yazı alıntı yap,train
"An Israeli warplane had bombed his family home in the Tal Al-Zaatar neighborhood in Northern Gaza on the July 11, 2014.",11 temmuz 2014 tarih kuzey gazze tal alozatar ev bir israil savaş uçak taraf bombala,train
"In the region, land degradation and cultivation of marginal land increase the risk that extreme events can develop into natural disasters.","bölgede, marjinal arazilerinde geleneksel toprak işleme tarım yap arazil işle ve toprak kayıp aşırı uç olay doğal afet hal gel risk art",train
"On May 22, a suicide bomber killed 23 people and left 102 people injured when he blew himself up in the Imam Ali Mosque in Al Qadih, in Qatif, in the Eastern province of Saudi Arabia.",22 mayýs bir canlı bomba suudi arabistan doğu vilayet atif el qadih imam ali cami patla 23 kişi ölüm yol açar 102 kişi de yarala neden ol,train
The list of 13 demands outlined urgent measures necessary to secure equal treatment for all journalists and prevent the collapse of free media in Serbia.,13 talep oluş listete bütün gazeteci eşit muamele gör sağla ve sırbistan basın özgür devam sağla için gerek önlem bahset,train
"But the debate went further, with many claiming that the Sun even rotated around the stationary Earth.","konu, güneş dünya etraf dön iddia et değin ilerle",train
A guest blogger at Sachalayatan reminisces about his childhood memories of going to cinemas with family.,sachalayatan'da konuk bir blog yazar çocukluk aile ile birlikte sinema git anımsa,train
"Power at the wrong time, in the hands of the wrong people can ignite waves of rage.",gücün yanlış zaman yanlış el insan bulun öfke alev,train
All we have to do is condemn .,tek yap gerek kına,train
They pushed me several times and broke my belongings.,beni defalarca it kak ve eşya kırdılar,train
"Assefa’s friends say that he always wished to return to his childhood home Chencha, a village in southern Ethiopia.","arkadaşları, assefa hep etiyopya güney bir köy ol chencha çocukluk ev dön dile söyle",train
Mukwenge's 15 year-long activism in favor of victims of sexual violence by armed factions in the Kivu province of the Democratic Republic of Congo was recently awarded with several prizes.,"mukwenge'nin,kongo demokratik cumhuriyet kivu bölge silah grup taraf cinsel şiddet maruz kalan leh sür 15 yıllık aktivizm kısa süre önce birkaç kez ödül",train
8 municipalities in Taiwan have started second stage water restrictions since Feb 26.,26 şubat itibari çin cumhuriyet 8 belediye ikinci derece su kısıtla geç yap,train
The volcanic eruption has produced some fantastic images that are being shared all over social media.,volkanik patla sıra çek bazı fantastik görüntüle sosyal medya da paylaş,train
"This activity rose to unprecedented levels in 2016, with Russian cybersecurity company Kaspersky Labs reporting 194 Chinese cyberattacks in the first 7 months of the year alone—compared to just 72 in 2015.",bu faaliyet kaspersky lab ad bir rus siber güvenlik şirket çin yıl sadece ilk 7 ay 194 ayrı siber saldırı gerçek açıkla ardından 2201 bu saldırı sayı 72 i daha önce eş benzer gör bir sevive ulaş,train
"Writing on Facebook, Ziad Khilleh shares a bit of Syrian humor, suggesting that the only legitimate marches from a Syrian official perspective are presumably those glorifying Syrian dictator Bashar Al Assad.",what other marches could even be possible even in paris after alli,train
"On the other side, many have questioned the effectiveness of the ban.",diğer bir yandad bir çok kişi yasak etkili sorgula,train
Now its a clothes market.,şimdi bura bir giyim pazar,train
"I decided to start my own Netblog, what are the the official forms I am supposed to fill?",kendime bir blog aç karar ver dol gerek resim form ne,train
"Japan, around 1870-1890.","japonya, 1870.0008 ara",train
"This case centers on Momade Assife Abdul Satar, better known as Nini, one of those sentenced for the killing in November 2000 of Carlos Cardoso, a Mozambican journalist who exposed a government corruption scandal and founder of the country's first journalist cooperative.",bu davad kasım 2000 hükümet yolsuz skandal ve ülke ilk gazeteci kooperatif kuru ol bir mozambik gazeteci carlos cardoso öl olay nini ol bil momade assif abdul satar merkez koy,train
Kampot fish market,kampot balık pazar,train
"On January 31, Amani Baya and Jack Muguna of Nairobi Horns Project were arrested on what Jibril calls “trumped-up charges that reflect the impunity and gross unfairness of our legal and enforcement systems,” and called on fans of Jibril’s highly popular Choices Thursday Night — Live music event:",31 ocaktad nairobi horn proje amani bay ve jack maguna wyasal ve yaptırım sistem hak ve adalet yansı düzmece cezalar yüz tutukla,train
"Two years later, children in southern Damascus are eating crumbs off the street as they starve under siege.",iki yıl sonrad şam güney kısım çocuk kuşat alt açlık iç sokak kırıntı ye,train
Source: Facebook page of Hoàng Sa Club,kaynak: hocng sa club facebook sayfa,train
Among the damaged structures were 187 brick temples in the ancient capital of Bagan.,zarar gör bina ara antik başkent bagan 187 adet tuğla tapınak bulun,train
They have seen online repression grow and become more institutionalized with the launch of an official cyber police force.,internet üzer baskı art ve resim internet polis kur bu baskın kurumsal gör,train
The Prime Minister has some colourful support.,burada bazı açıkla var,train
Copyright Demotix (14/08/2014).,copyright demotix öb4//oğludich,train
Previous requests to set up formal post-secondary education in Kurdish language and literature by Kurdish authorities had been rejected.,kürt yetkili daha önce lise sonra kürtçe dil eğitim talep reddet,train
"In 2016, China Literature paid nearly RMB 1 billion yuan — approximately US$150 million — for 5.3 million writers in which just over one hundred top authors gained more than 1 million yuan.",2016'da çin edebiyat şirket tam tam 5.3 milyon yazar ortalama 1 milyar yuan rmb yani 50 milyon lira öde,train
City market of Battambang,battambang şehir pazar,train
"According World Press Freedom Index, compiled by Reporters without Borders, Czech Republic's rank fell from 14 in 2012 to 23 in 2017.",several bills were drafted during 2016 with the aim of increasing the penaltise for criminal defamation especial when the president is concerned,train
