en,tr,split
"In one of these neighbourhoods , in Dağkapı , first cousins 12 year-old Yusuf Akalın and 11 year-old Büşra Akalın were killed because they were hit by shrapnel after an explosion hit their door when they were in the backyard .","Bu mahallelerden Dağkapı Mahallesinde , evinin avlusundayken kapıya isabet eden patlayıcı sonrası vücutlarına şarapnel parçası isabet eden amca çocukları 12 yaşındaki Yusuf Akalın ve 11 yaşındaki Büşra Akalın hayatını kaybetti .",train
"Two people were referred to the courthouse after the completion of the police investigation , and based on the evidence gathered , were arrested .",Polisteki sorgularının ardından adliyeye sevk edilen 2 kişi çıkarıldıkları mahkemece tutuklandı .,train
126 people taken hostage were rescued with the operation which was carried out after the attack .,Saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
"The suspects , M.K. and O.A. , were captured and detained by the Eyüp District s Security Directorate s Public Security team ’ ’ .",Şüpheli M.K. ile Ö.A. ise Eyüp İlçe Emniyet Müdürlüğü Asayiş Büro Amirliği ekipleri tarafından yakalanarak gözaltına alındı .,train
The group started dispersing after the sending-off ceremony .,Asker uğurlamasının ardından grup dağılmaya başladı .,train
"Zeybekçi stated that a green passport will be given to exporters later on as well , and added , "" A law for one of the recent decisions was issued , and we finished its regulation in the ministry of economy ; we will put the privileged green passport which represents our country under the order of our exporters with around 17 or 20 thousand exporters among the exporters in the first round . ""","Zeybekci ayrıca ilerleyen zamanlarda ihracatçılara yeşil pasaport verileceğini belirterek , "" En son kararlardan bir tanesi ki onun kanunu çıktı , şu anda yönetmeliğini de ekonomi bakanlığında bitirdik ; ihracatçılarımızdan yaklaşık olarak , ilk rakamlar itibariyle 17 ile 20 bin civarındaki ihracatçımıza da bu ülkeyi temsil eden imtiyazlı yeşil pasaportu , ihracatçımızın emrine vereceğiz "" ifadesini kullandı .",train
"Just at that moment a gun was fired , it happened right in front of me .","O anda silah patladı , tam önümde oldu .",train
"Some residents left the district with a white flag hung from their cars , and those who do not have cars moved to the surrounding district taking as many articles as they could with them .",Kimi vatandaşın aracına astığı beyaz bayrakla ilçeyi terk ederken aracı olmayanlar ise taşıyabildikleri eşyaları yanlarına alarak çevre il ve ilçelere taşındı .,train
"She said that the incident took place while her granddaughter was on her lap , "" The soldiers sendoff celebration ’ started at 8 O Clock . "" ’","Torunu kucağındayken olayın yaşandığını söyleyen Kaya , "" Asker kutlaması saat 20.00 "" da başladı . """,train
126 people taken hostage were rescued with the operation which was carried out after the attack .,Saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
They finished in 3 : 51.943 .,Pisti 3 : 51.943 sürede tamamladılar .,train
She has an 80 90 % chance – of losing her eye .,Gözünü yüzde 80-90 kaybetme olasığı var .,train
"Davala said that they won two trophies before the new season and played a comfortable football game in general , despite having trouble in some aspects , and said , “ Winning always feels nice .","Yeni sezon öncesi iki kupa aldıklarını ve Gaziantepspor karşısında bazı bölümlerde sıkıntı yaşasalar da oyun genelinde rahat bir futbol sergilediklerini kaydeden Davala , “ Kazanmak her zaman güzeldir .",train
Kepler measures spin rates of stars in Pleiades cluster,"Kepler , Ülker takım yıldızındaki yıldızların dönüş hızını ölçtü",train
When crossing the street in Zincirlikuyu …,Zincirlikuyu ' da yolun karşısına geçerken ...,train
"However , you meet the 60 % requirement by being a dialysis patient , but you are not entitled to pension because you did not complete payment of premium for 1,800 days .","Ancak , siz burada diyaliz hastası olduğunuz için yüzde 60 şartını sağlıyorsunuz 1800 prim gün sayısını doldurmadığınız için aylık bağlanamaz .",train
"Rebull likens the stars to dancers , larger ones pirouetting more slowly than smaller ones .","Rebull , yıldızları dansçılara benzeterek büyük olanların tek ayak üzerinde dönüşlerini küçük olanlardan daha yavaş bir şekilde gerçekleştirdiğini ifade etmiştir .",train
"The night before , a crowd had gathered at a park in the Karadolap neighborhood to send off their newly enlisted friends .","Kalabalık bir grup , önceki gece askere gidecek arkadaşlarını uğurlamak için Karadolap Mahallesi ' ndeki parkta toplandı .",train
The latest mission by the Kepler space telescope has helped astronomers collect the most complete catalog of spin rates among the stars of the Pleiades cluster .,"Kepler uzay teleskopu , son görevi ile gökbilimcilerin Ülker takım yıldızındaki yıldızların dönüş hızları açısından en eksiksiz kataloğu oluşturabilmesine yardımcı oldu .",train
"In these camps , under the mask of "" summer camps "" , training on such questions as "" how to convert actions into violence "" was also imparted along with organizational training .","Yaz kampı görüntüsü altındaki bu kamplarda ; örgütsel eğitimin yanı sıra "" eylemlerin şiddete nasıl dönüştürülebileceği "" gibi konularda eğitim veriliyor .",train
President Roch Marc Christian Kabore stated that at least 23 people died and 33 people from 18 different nations were injured .,"Devlet Başkanı Roch Marc Christian Kabore , olayda 18 farklı milletten en az 23 kişinin öldüğünü ; 33 kişinin yaralandığını açıkladı .",train
The group started dispersing after the sending-off ceremony .,Asker uğurlamasının ardından grup dağılmaya başladı .,train
Mr Dulgun was knocked to the ground by the impact .,"Dulgun , çarpmanın etkisiyle yere savruldu .",train
"We still have a lot we want to learn about how , when and why stars slow their spin rates and hang up their ' dance shoes , ' so to speak .","Yıldızların dönüş hızlarının nasıl , ne zaman ve neden düştüğü , tabiri caiz ise ' dans ayakkabılarını ' neden bir köşeye bıraktıkları hakkında öğrenmek istediğimiz daha çok şey var .",train
There are many dead and wounded,Çok sayıda ölü ve yaralı var,train
The Pleiades cluster is situated 445 light-years from Earth .,Ülker takım yıldızı Dünyadan 445 ışık yılı uzaktadır .,train
Those who remained in the district survive with the help of their relatives and benefactors in Cizre .,İlçede kalanlar ise akrabaların ve Cizreli hayırseverlerin yaptığı yardımlarla geçinebiliyor .,train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
"Since it could be hereditary , those whose parents have Poikiloderma of Civatte must be informed about protection and treatment at an early age , "" she explained .",Ailesel olabileceği için anne babasında Civatte Poikiloderması olanların erken yaşta korunma ve tedavi konusunda bilinçlendirilmeli gerekir . ’ açıklamasında bulundu .,train
""" She was the person who was galvanizing this energy , "" she said .","Şöyle diyor : "" Bu enerjiyi harekete geçiren kişi o idi . """,train
Those who remained in the district survive with the help of their relatives and benefactors in Cizre .,İlçede kalanlar ise akrabaların ve Cizreli hayırseverlerin yaptığı yardımlarla geçinebiliyor .,train
"According to allegations , M.K. and O.A. from the group had from time to time shot in the air with pump-action shotguns .","İddiaya göre , grup içinde bulunan M.K. ile Ö.A. pompalı tüfeklerle zaman zaman havaya ateş açtı .",train
Students who had to enter the Distance Education Faculty ( AÖF ) exams could not enter the exam on January 16 and 17 .,16 ve 17 Ocak ' ta yapılacak olan Açık Öğretim Fakültesi ( AÖF ) sınavına girecek öğrenciler sınava giremedi .,train
"In one of these neighbourhoods , in Dağkapı , first cousins 12 year-old Yusuf Akalın and 11 year-old Büşra Akalın were killed because they were hit by shrapnel after an explosion hit their door when they were in the backyard .","Bu mahallelerden Dağkapı Mahallesinde , evinin avlusundayken kapıya isabet eden patlayıcı sonrası vücutlarına şarapnel parçası isabet eden amca çocukları 12 yaşındaki Yusuf Akalın ve 11 yaşındaki Büşra Akalın hayatını kaybetti .",train
One of the important sub-branches of sound technology is subliminal messaging .,Ses teknolojisinin en önemli alt dallarından biri ise subliminal mesaj .,train
"It was reported that among the injured undergoing treatment , five-year old Yildizsu Unus faces the risk of losing her left eye .",Hastanede tedavisi süren yaralılardan 5 yaşındaki Yıldızsu Unus ' un sol gözünü kaybetme riskiyle karşı karşıya olduğu belirtildi .,train
"- Ahmet , you have written that you meet all the requirements of the law but one of the main requirements of the law is that those insured with SSK and Bağ-Kur should not have been suffering from any illnesses that prevent you from working before you even start working .","- Ahmet Bey , Kanunda yer alan tüm koşulları sağladığınızı yazmışsınız ancak ana koşullardan birisi olan ve kanunda yer alan SSK ve Bağ-kur sigortalıları için çalışma kaybına esas olan hastalığın işe girmeden önce mevcut olmaması şarttır .",train
You lose weight more when you eat sweets and pastries .,Siz de tatlı ve hamur işi gıdalar yediğinizde daha da zayıflarsınız .,train
""" The Pleiades star cluster provides an anchor for theoretical models of stellar rotation going both directions , younger and older , "" said Rebull .","Rebull "" Ülker takım yıldızının genç ve yaşlı olarak her iki yönde de yıldız dönüşleri için teorik modeller sağlamaktadır "" demiştir .",train
Pamir made a school s sports arena suitable ’ for both sports and concerts .,Pamir bir okulun spor salonunu hem spor hem konser için uygun hale de getirmiş .,train
""" THOSE WHO COMMITTED THE COUP ATTEMPT SHOULD BE CLEARED FROM THE STATE """,""" DARBE GİRİŞİMİNDE BULUNANLARIN DEVLETTEN TEMİZLENMESİ GEREKİYOR """,train
The average phone price has reached 300 dollars as a result of the increase in this ratio .,Bu oranın artması nedeniyle satılan telefonların ortalama fiyatı 300 dolara geldi .,train
The group started dispersing after the sending-off ceremony .,Asker uğurlamasının ardından grup dağılmaya başladı .,train
""" The Pleiades star cluster provides an anchor for theoretical models of stellar rotation going both directions , younger and older , "" said Rebull .","Rebull "" Ülker takım yıldızının genç ve yaşlı olarak her iki yönde de yıldız dönüşleri için teorik modeller sağlamaktadır "" demiştir .",train
The youths started dispersing .,Gençler dağılmaya başladı .,train
"Yildizsu s grandmother ’ , Meryem Kaya , described those moments to DHA .",Yıldızsu ' nun anneannesi Meryem Kaya o anları DHA ' ya anlattı .,train
"However , residents had to move from there because clashes recently occurred also in these neighbourhoods .",Ancak son zamanlarda bu mahallelerde de çatışmaların yaşanması sebebiyle vatandaşlar buradan da taşınmak zorunda kaldı .,train
It continued for two hours .,2 saat sürdü .,train
We were going to leave as soon as it was finished .,Bitmesiyle bizim kalkmamız bir olacaktı .,train
""" In the ' ballet ' of the Pleiades , we see that slow rotators tend to be more massive , whereas the fastest rotators tend to be very light stars , "" said Rebull .","Rebull , "" Ülker ' balesinde ' yavaş dönenlerin çok daha ağır , hızlı dönenlerin ise çok hafif yıldızlar olduğunu görüyoruz "" demiştir . """,train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
The Ministry of Security stated that three of the attackers were neutralised .,"Güvenlik Bakanı , saldırganlardan üçünün etkisiz hale getirildiğini bildirdi .",train
""" In the ' ballet ' of the Pleiades , we see that slow rotators tend to be more massive , whereas the fastest rotators tend to be very light stars , "" said Rebull .","Rebull , "" Ülker ' balesinde ' yavaş dönenlerin çok daha ağır , hızlı dönenlerin ise çok hafif yıldızlar olduğunu görüyoruz "" demiştir . """,train
"As a star ages , its spin rate begins to slow down .",Bir yıldız yaşlandıkça dönüş hızı düşmeye başlar .,train
"The new data is helping astronomers understand why stars in the cluster spin at varying rates , as well as how rotation periods relate to planet formation .","Yeni veriler , gökbilimcilerin takım yıldızındaki yıldızların neden değişken hızla döndüğünü ve dönüş dönemlerinin gezegen oluşumu ile ilgisini anlayabilmesine yardımcı oluyor .",train
The Ministry of Security stated that three of the attackers were neutralised .,"Güvenlik Bakanı , saldırganlardan üçünün etkisiz hale getirildiğini bildirdi .",train
"While clashes were continuing especially in the neighbourhoods that have trenches and barricades , the residents had moved to more central neighbourhoods .",Özellikle hendek ve barikatların bulunduğu mahallelerde çatışmalar sürerken buradaki vatandaşlar daha merkezi mahallelere taşınmıştı .,train
My granddaughter s situation ’ is not good .,Torunumun durumu iyi değil .,train
The Pleiades cluster is situated 445 light-years from Earth .,Ülker takım yıldızı Dünyadan 445 ışık yılı uzaktadır .,train
"She said that the incident took place while her granddaughter was on her lap , "" The soldiers sendoff celebration ’ started at 8 O Clock . "" ’","Torunu kucağındayken olayın yaşandığını söyleyen Kaya , "" Asker kutlaması saat 20.00 "" da başladı . """,train
"As these winds travel across the stars ' magnetic fields , they enact a braking effect on the stars .",Bu rüzgarlar yıldızların manyetik alanlarında ilerledikçe yıldızlar üzerinde kırılma etkisi oluşturmaktadır .,train
Soldier s pump-action shotgun ’ turns sendoff into terror : Five-year old Yildizsu could lose her eyesight,Pompalı tüfekle asker uğurlama dehşeti : 5 yaşındaki Yıldızsu gözünü kaybedebilir,train
"Having deployed 5 hours after the attack in Gao state , Mali , French and UN security forces started the operation and the first news regarding the rescue of the first hostage came .",İlk saldırıdan 5 saat sonra Mali ' nin Gao eyaletinde konuşlanmış bulunan Fransız ve BM güvenlik kuvvetleri operasyona başladı ve ilk rehine kurtuluş haberleri geldi .,train
We should not fail to notice that artificial lives are being talked about .,Suni hayatların söz konusu olduğu gözden kaçırılmamalı .,train
"In Ouagadougou , the capital of the West African Country Burkina Faso , at least 23 people were killed and 33 people injured in gun and bomb attacks organized in a hotel that is popular among foreigners , and in the cafeteria next to it .","Batı Afrika ülkesi Burkina Faso ' nun başkenti Ouagadougou ' da , yabancılar arasında popüler olan bir otel ve yanındaki kafeteryaya düzenlenen bombalı ve silahlı saldırıda en az 23 kişi öldü , 33 kişi de yaralandı .",train
"The new data is helping astronomers understand why stars in the cluster spin at varying rates , as well as how rotation periods relate to planet formation .","Yeni veriler , gökbilimcilerin takım yıldızındaki yıldızların neden değişken hızla döndüğünü ve dönüş dönemlerinin gezegen oluşumu ile ilgisini anlayabilmesine yardımcı oluyor .",train
There are many dead and wounded,Çok sayıda ölü ve yaralı var,train
"It was the day 's only medal event , but there was further good news for Britain .",Bu sadece bu günkü madalyanın etkinliği olsa da Britanya için birçok iyi haber var .,train
Do I have to quit work in order to apply ?,Başvururken işten ayrılmak şart mı ?,train
""" We hope that by comparing our results to other star clusters , we will learn more about the relationship between a star 's mass , its age , and even the history of its solar system , "" Luisa Rebull , a research scientist at Caltech 's Infrared Processing and Analysis Center in Pasadena , said in a news release .","Caltech ' in Pasadena ' daki Kızılötesi İşleme ve Analiz Merkezi ' nde bir araştırma bilimcisi olan Luisa Rebull , bir haber bülteninde "" Sonuçlarımızı yıldız kümeleri ile karşılaştırdığımızda , bir yıldızın kütlesi , yaşı ve hatta güneş sisteminin geçmişi arasındaki ilişki hakkında daha fazla bilgi edinebilmeyi umuyoruz "" demiştir .",train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
Education cannot be provided in the district where schools have been closed since December 14 when the major operation started .,Büyük operasyonun başladığı 14 Aralıktan itibaren okulların kapalı olduğu ilçede eğitim verilemiyor .,train
"The new data is helping astronomers understand why stars in the cluster spin at varying rates , as well as how rotation periods relate to planet formation .","Yeni veriler , gökbilimcilerin takım yıldızındaki yıldızların neden değişken hızla döndüğünü ve dönüş dönemlerinin gezegen oluşumu ile ilgisini anlayabilmesine yardımcı oluyor .",train
""" The Pleiades star cluster provides an anchor for theoretical models of stellar rotation going both directions , younger and older , "" said Rebull .","Rebull "" Ülker takım yıldızının genç ve yaşlı olarak her iki yönde de yıldız dönüşleri için teorik modeller sağlamaktadır "" demiştir .",train
"I ask Pamir : "" At the moment in Japan , they are trying to develop a horn sound that people believe will be blown by Michael on the Day of Resurrection , so what do you think it will be like ? "" He says : "" I think it will sound close to a human voice because humans are most impressed by sounds similar to their own .",""" Şu an Japonya ' da kıyamet günü Mikail tarafından üfleneceğine inanılan sur sesi yapılmaya çalışılıyor , bu nasıl bir şey olur sizce ? "" sorusuna da Pamir ' in verdiği yanıt şöyle : "" Bence insan sesine yakın bir ses olur çünkü insanı en çok etkileyen ses kendi sesine yakın seslerdir .",train
""" The Pleiades star cluster provides an anchor for theoretical models of stellar rotation going both directions , younger and older , "" said Rebull .","Rebull "" Ülker takım yıldızının genç ve yaşlı olarak her iki yönde de yıldız dönüşleri için teorik modeller sağlamaktadır "" demiştir .",train
""" Because if you don 't follow through , employees will wonder , ' Did you really hear me ?",""" Çünkü eğer takip etmezseniz çalışanlar şöyle düşünecek , ' Beni gerçekten işittin mi ?",train
"Many of the stars in the cluster are just now reaching adulthood , having been born roughly 125 million years ago .",Takım yıldızındaki yıldızların çoğu 125 milyon yıl önce oluşmuştur ve yeni yeni erişkinlik seviyesine ulaşmaktadır .,train
The glass bottle was found in debris around a house after Hurricane Sandy struck last year in the USA .,"Cam şişe , ABD ' de geçtiğimiz yıl meydana gelen Sandy Kasırgası ' nın ardından bir evin etrafındaki enkazdan çıktı .",train
The White House argues the true cost of operating the helicopter is well below that rate .,Beyaz Saray helikopterin gerçek işletme giderinin bu oranın çok altında olduğunu iddia ediyor .,train
"According to allegations , M.K. and O.A. from the group had from time to time shot in the air with pump-action shotguns .","İddiaya göre , grup içinde bulunan M.K. ile Ö.A. pompalı tüfeklerle zaman zaman havaya ateş açtı .",train
A spokesperson for Sikorsky said the company was not involved in arranging for the helicopter to be displayed on the South Lawn .,"Sikorksky ' den bir sözcü , helikopterin güney çimlerinde sergilenmesinin ayarlanmasına firmalarının katılmadığını söyledi .",train
"Mentioning that Turkey 's democracy got stronger , Şimşek said , "" In my opinion , the foundations of Turkey 's democracy got stronger ; because when you look at the root of the problems in the recent past , you will certainly see that this gang of betrayers had a hand in the matter . ""","Türkiye ' nin demokrasisinin sağlamlaştığını dile getiren Şimşek "" Bence Türkiye ' nin demokrasisinin temelleri sağlamlaştı ; çünkü yakın geçmişteki sorunların kökenine baktığınız zaman mutlaka bu ihanet şebekesinin işin içinde olduğunu görürsünüz .",train
"The new data is helping astronomers understand why stars in the cluster spin at varying rates , as well as how rotation periods relate to planet formation .","Yeni veriler , gökbilimcilerin takım yıldızındaki yıldızların neden değişken hızla döndüğünü ve dönüş dönemlerinin gezegen oluşumu ile ilgisini anlayabilmesine yardımcı oluyor .",train
"Explaining that economic foundations are strong and they returned to their structural reform agenda without losing any time , Şimşek said , "" Turkey returned to its main agenda , there are advances in the structural reforms . ""","Ekonominin temellerin genel olarak sağlam olduğunu ve hiç zaman kaybetmeden tekrar normal yapısal reform gündemlerine geri döndüklerini ifade eden Şimşek , "" Türkiye asli gündemine dönmüştür , yapısal reformlarda ilerleme vardır . """,train
Many attackers with guns and overcoats organized a raid on the 147-room hotel and luxury restaurant in the capital Ouagadougou at around 20 : 00 local time on Friday .,"Silahlı ve mantolu birçok saldırgan , Cuma akşamı yerel saatle 20.00 sıralarında başkent Ouagadougou ' da bulunan 147 odalı otele ve lüks restorana baskın düzenledi .",train
Try to talk together about the roles of celebrities in our daily life .,Ünlülerin gündelik hayatımızdaki yerini birlikte ele almaya çalışın .,train
The group started dispersing after the sending-off ceremony .,Asker uğurlamasının ardından grup dağılmaya başladı .,train
Blood was shed during a soldiers sendoff ’ in Eyup .,Eyüp ' te gençlerin asker uğurlamasında kan aktı .,train
"I cannot gain weight , doctors do not know the reason","Kilo alamıyorum , doktorlar sebebini bilmiyor",train
"For example , in a restaurant where businessmen are holding a meeting , a mechanism can be installed to prevent sound waves moving away from the meeting table .","Mesela iş adamlarının gittiği , üst düzey ihale toplantılarının yapıldığı bir restorantta , seslerin toplantı masasının dışına çıkamadığı bir düzenek yapmış .",train
Soldier s pump-action shotgun ’ turns sendoff into terror : Five-year old Yildizsu could lose her eyesight,Pompalı tüfekle asker uğurlama dehşeti : 5 yaşındaki Yıldızsu gözünü kaybedebilir,train
"Rebull and her colleagues detailed their latest analysis of Pleiades spin rates in three new papers , soon to be published in the Astronomical Journal .",Rebull ve meslektaşları Ülker takım yıldızının dönüş hızları ile ilgili en yeni analizlerini kısa süre içinde Astronomi Dergisi ' nde yayınlanacak üç yeni makalede ayrıntılı olarak açıklamıştır .,train
"Two people were referred to the courthouse after the completion of the police investigation , and based on the evidence gathered , were arrested .",Polisteki sorgularının ardından adliyeye sevk edilen 2 kişi çıkarıldıkları mahkemece tutuklandı .,train
""" These rate estimates include personnel , maintenance and many other sunk costs that are included in annual appropriations . """,""" Bu oran tahminleri personel , bakım ve yıllık giderler içerisinde yer alan batık maliyetleri kapsıyor . """,train
Many attackers with guns and overcoats organized a raid on the 147-room hotel and luxury restaurant in the capital Ouagadougou at around 20 : 00 local time on Friday .,"Silahlı ve mantolu birçok saldırgan , Cuma akşamı yerel saatle 20.00 sıralarında başkent Ouagadougou ' da bulunan 147 odalı otele ve lüks restorana baskın düzenledi .",train
These seconds were captured by the park s security cameras ’ .,O anlar parkın güvenlik kameralarına da yansıdı .,train
"He said , "" The desired Wealth Fund may be beneficial only if these concerns are eliminated . """,""" İstenen Varlık Fonu ancak bu kaygılar giderilirse faydalı olabilir "" dedi .",train
"In Ouagadougou , the capital of the West African Country Burkina Faso , at least 23 people were killed and 33 people injured in gun and bomb attacks organized in a hotel that is popular among foreigners , and in the cafeteria next to it .","Batı Afrika ülkesi Burkina Faso ' nun başkenti Ouagadougou ' da , yabancılar arasında popüler olan bir otel ve yanındaki kafeteryaya düzenlenen bombalı ve silahlı saldırıda en az 23 kişi öldü , 33 kişi de yaralandı .",train
The soldiers entertainment ’ had completely finished .,Asker eğlencesi tamamen bitti .,train
There are many dead and wounded,Çok sayıda ölü ve yaralı var,train
"Two people were referred to the courthouse after the completion of the police investigation , and based on the evidence gathered , were arrested .",Polisteki sorgularının ardından adliyeye sevk edilen 2 kişi çıkarıldıkları mahkemece tutuklandı .,train
There are many dead and wounded,Çok sayıda ölü ve yaralı var,train
"But according to Department of Defense hourly rates for fiscal year 2017 , the DoD reimbursement rate for the VH-3D is $ 24,380 per flight hour .","Fakat Savunma Bakanlığı ' nın 2017 mali yılı için saatlik oranlarına göre , Savunma Bakanlığı ' nın VH-3D ' yi karşılama oranı uçuş saati başına 24.340 $ .",train
Somehow I cannot gain weight .,Bir türlü kilo alamıyorum .,train
126 people taken hostage were rescued with the operation which was carried out after the attack .,Saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
"Five people , including one child were sitting on a bank in the park and were injured as the buckshot ricocheted off the ground .","Yerden seken saçmalardan dolayı parktaki bankta oturan 1 "" i çocuk 5 kişi yaralandı .",train
Many attackers with guns and overcoats organized a raid on the 147-room hotel and luxury restaurant in the capital Ouagadougou at around 20 : 00 local time on Friday .,"Silahlı ve mantolu birçok saldırgan , Cuma akşamı yerel saatle 20.00 sıralarında başkent Ouagadougou ' da bulunan 147 odalı otele ve lüks restorana baskın düzenledi .",train
"Rebull and her colleagues detailed their latest analysis of Pleiades spin rates in three new papers , soon to be published in the Astronomical Journal .",Rebull ve meslektaşları Ülker takım yıldızının dönüş hızları ile ilgili en yeni analizlerini kısa süre içinde Astronomi Dergisi ' nde yayınlanacak üç yeni makalede ayrıntılı olarak açıklamıştır .,train
She has an 80 90 % chance – of losing her eye .,Gözünü yüzde 80-90 kaybetme olasığı var .,train
Soldier s pump-action shotgun ’ turns sendoff into terror : Five-year old Yildizsu could lose her eyesight,Pompalı tüfekle asker uğurlama dehşeti : 5 yaşındaki Yıldızsu gözünü kaybedebilir,train
"However , residents had to move from there because clashes recently occurred also in these neighbourhoods .",Ancak son zamanlarda bu mahallelerde de çatışmaların yaşanması sebebiyle vatandaşlar buradan da taşınmak zorunda kaldı .,train
"To do this , your digestive system should work healthily .",Bunun için sindirim sisteminizin sağlıklı çalışması gerekir .,train
126 people taken hostage were rescued during the operation which was carried out after the gun attack .,Silahlı saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
Residents of the neighbourhoods that do not have trenches and barricades also had to leave because of the clashes experienced there .,Hendek ve barikatların bulunmadığı mahallelere de çatışmaların yaşanması sebebiyle de burada yaşayan insanlarda göç etmek zorunda kaldı .,train
"She describes the socio-political atmosphere of the area she calls home simply : "" A mess . ""","Evim dediği bölgedeki sosyo-politik atmosferi tek kelimeyle "" karmaşa "" olarak tanımlıyor .",train
"As these winds travel across the stars ' magnetic fields , they enact a braking effect on the stars .",Bu rüzgarlar yıldızların manyetik alanlarında ilerledikçe yıldızlar üzerinde kırılma etkisi oluşturmaktadır .,train
126 people taken hostage were rescued with the operation which was carried out after the attack .,Saldırı sonrası yapılan operasyonda rehin alınan 126 kişi kurtarıldı .,train
The latest mission by the Kepler space telescope has helped astronomers collect the most complete catalog of spin rates among the stars of the Pleiades cluster .,"Kepler uzay teleskopu , son görevi ile gökbilimcilerin Ülker takım yıldızındaki yıldızların dönüş hızları açısından en eksiksiz kataloğu oluşturabilmesine yardımcı oldu .",train
"When Trump was at the G-20 summit in Germany in early July , HMX-1 conducted 58 practice landings at the White House .",Trump Temmuz başında G-20 zirvesi için Almanya ' dayken HMX-1 Beyaz Saray ' da 58 tatbikat inişi gerçekleştirdi .,train
M.K. fired a single shot into the ground with pump-action shotgun while passing by a playground full of children .,M.K. çocuklarla dolu oyun alanının yanından geçtiği sırada pompalı tüfekle yere bir el ateş etti .,train
I imagine you might have understood this by now .,Zannederim bunu şimdiye kadar anlamışsınızdır .,train
Kepler measures spin rates of stars in Pleiades cluster,"Kepler , Ülker takım yıldızındaki yıldızların dönüş hızını ölçtü",train
The latest catalog of spin rates suggests more massive stars spin more slowly than less massive stars .,"En son dönüş hızları kataloğu , daha büyük yıldızların küçük yıldızlardan daha hızlı döndüğünü öne sürmektedir .",train
What are the requirements for an operation prescribed by referral ?,Sevk işlemleri için aranan şartlar neler ?,train
Soldier s pump-action shotgun ’ turns sendoff into terror : Five-year old Yildizsu could lose her eyesight,Pompalı tüfekle asker uğurlama dehşeti : 5 yaşındaki Yıldızsu gözünü kaybedebilir,train
