en,tr,partition
"Students pursuing the t-MBA education model , which brings university business administration graduate programmes to the high-school level , enhance their worth both academically and socially with student councils , t-MBA applications , foreign languages , international projects , interdisciplinary associations and educational coaching components .
","Üniversitelerin işletme yüksek lisans programlarını lise düzeyine çeken t-MBA Eğitim Modeli ’ nde öğrenciler , Öğrenci Meclisleri , t-MBA Uygulamaları , Yabancı Dil , Uluslararası Projeler , Disiplinler arası İlişkilendirme ve Eğitim Koçluğu bileşenleriyle hem akademik hem de sosyal alanda gelişiyor .
",newsdev2016
"Doğa 's scholarship opportunities are also available for campuses following the Oxford concept …
","Doğa ’ nın burs imkanları Oxford konseptli kampüslerde de geçerli …
",newsdev2016
"Scholarship opportunities ranging from 2 % to 75 % are available for Doğa College 's campuses that follow the education model of the Oxford concept , which was developed in collaboration with Oxford Quality School , and marked its success by producing an SBS Turkey Champion in its first year .
","Doğa Koleji ’ nin Oxford Quality School işbirliği ile geliştirdiği ve başarısını daha ilk yılında SBS Türkiye Şampiyonu çıkararak tescil ettiren Oxford konseptli eğitim modelinin uygulandığı kampüslerde de geçerli olan burs imkanları , % 2 ’ den % 75 ’ e kadar değişiyor .
",newsdev2016
"Doğa College grants students having OYP scores between 481 and 490 with 75 % scholarships , between 471 and 480 with 60 % scholarships , and between 451 and 470 with 50 % scholarships .
","481-490 arası OYP puanı alan öğrencilerin % 75 bursla ödüllendirildiği Doğa Koleji ’ nde 471-480 arası puan alan öğrencilere % 60 , 451-470 arası puan alan öğrencilere % 50 burs imkanı sağlanıyor .
",newsdev2016
"“ Our investment in our students is an investment in the future of Turkey . ”
","“ Öğrencilerimize yaptığımız yatırım , Türkiye ’ nin geleceğine yapılan yatırımdır ”
",newsdev2016
"With regard to the scholarship grants and underlining that they are always proud of their students , CEO of Doğa College Uğur Gazanker said , “ Doğa College strives to raise generations who are successful not only in academics but also in every walk of life . ”
","Öğrencileri ile her zaman gurur duyduklarının altını çizen Doğa Koleji CEO ’ su Uğur Gazanker , burs imkanları ile ilgili ; “ Doğa Koleji , sadece akademik alanda değil , hayatın her alanında başarıyı yakalayan nesiller yetiştirmeyi hedefliyor .
",newsdev2016
"In line with this objective , we are guiding our students towards better achievements by acknowledging and rewarding all their accomplishments , from academic to sports and from art to music .
","Bu hedef doğrultusunda öğrencilerimizin akademik alandan spora , sanattan , müziğe kadar tüm başarılarını ödüllendirerek onları daha iyi ve güzel başarılar elde etmeye yönlendiriyoruz .
",newsdev2016
"As academicians , we are aware that the area of success for each student is different .
","Biz eğitimciler olarak biliyoruz ki ; her öğrencinin başarılı olduğu alan farklıdır .
",newsdev2016
"The important thing is to identify their areas of success by discovering them and encouraging them to fortify their strengths .
","Önemli olan , onların başarılı oldukları alanları keşfederek ortaya çıkarmak , onları cesaretlendirerek başarılarını pekiştirmektir .
",newsdev2016
"We act with the awareness that the investment in the education of our students is an investment in the future of Turkey and reward every success that they achieve , "" he said .
","Öğrencilerimizin eğitimine yaptığımız yatırımın , Türkiye ’ nin geleceğine yapılan yatırım olduğu bilinciyle hareket ediyor ve onların her türlü başarısını ödüllendiriyoruz ” şeklinde konuştu .
",newsdev2016
"Winning is always good
","Kazanmak her zaman güzeldir
",newsdev2016
"Ümit Davala said that they played a tough match . “ It was not easy to win the three points but winning is gratifying , ” he said .
","Ümit Davala zorlu bir maçı geride bıraktıklarını söyledi . “ 3 puan kolay alınmıyor ama kazanmak mutluluk verici ” dedi .
",newsdev2016
"Galatasaray assistant coach Ümit Davala said it was gratifying to have started the season with a victory over Gaziantepspor .
","G.Saray Yardımcı Antrenörlerinden Ümit Davala , Gaziantepspor galibiyetiyle sezona başlamalarının mutluluk verici olduğunu söyledi .
",newsdev2016
"Davala said that they won two trophies before the new season and played a comfortable football game in general , despite having trouble in some aspects , and said , “ Winning always feels nice .
","Yeni sezon öncesi iki kupa aldıklarını ve Gaziantepspor karşısında bazı bölümlerde sıkıntı yaşasalar da oyun genelinde rahat bir futbol sergilediklerini kaydeden Davala , “ Kazanmak her zaman güzeldir .
",newsdev2016
"Gaziantepspor is an effective team . However , everything was easy for us after we scored the goals "" , he said .
","Gaziantepspor etkili bir takım . Ancak , bulduğumuz goller sonrası herşey bizim için kolay oldu ” dedi .
",newsdev2016
"THE MATCH WITH BURSA WILL NOT BE EASY
","BURSA MAÇI KOLAY OLMAZ
",newsdev2016
"Adding that the fans and players missed each other and they granted three points to the finish , Ümit Davala said , "" We now have a tough match to displace Bursaspor .
","TARAFTARLARDA , oyuncuların birbirini özlediğini ve hasreti bitirirken 3 puan hediye ettiklerini de sözlerine ekleyen Davala , “ Şimdi önümüzde zorlu bir Bursaspor deplasmanı var .
",newsdev2016
"Matches are not won easily .
","Maçlar kolay kazanılmıyor .
",newsdev2016
"We do not take the victory over our opponents for granted as they claim . The Gaziantepspor match is proof of that , "" he said .
","Biz rakiplerimizi denildiği gibi çantada keklik görmüyoruz . Gaziantepspor maçı da bunun kanıtı ” diye konuştu .
",newsdev2016
"Who is considered disabled and how do you receive a pension
","Kim malul sayılır nasıl aylık alır
",newsdev2016
"Valuable Hürriyet readers : From now on , I will try to solve problems in your professional lives and social security issues and to discuss anything that you are curious about and share my experiences with you .
","Siz değerli Hürriyet okurlarına bundan böyle çalışma hayatı ve sosyal güvenlik alanında karşılaştığınız sorunların çözümünde veya merak ettikleri her konuda katkı sağlamaya ve tecrübelerimi sizler için aktarmaya çalışacağım .
",newsdev2016
"Dear readers , you come across hundreds of news stories about social security and professional life in both the print and electronic media .
","Okuyucularımız gerek yazılı gerek görsel basında sosyal güvenlik ve çalışma hayatı alanında yüzlerce haberle karşılaşıyorsunuz .
",newsdev2016
"From now on , I will present you with the most accurate , credible and reliable news in the Hürriyet newspaper and on hurriyet.com.tr.
","Bundan böyle Hürriyet gazetesinde ve hurriyet.com.tr ’ de en doğru , en sağlıklı ve güvenilir haberleri size sunacağım .
",newsdev2016
"First , I want to take a look at the disability dossier , which has had a great impact on the public .
","İlk olarak kamuoyunda çok ses getiren maluliyet dosyasını ele almak istiyorum .
",newsdev2016
"We will deal with this dossier in various stages in the form of a series of articles .
","Yazı dizisi şeklinde devam edecek olan bu yazılarımızı bölümler halinde ele alacağız .
",newsdev2016
"You can find answers to all questions on disability outlined in our articles .
","Yazımızda ana hatlarıyla malullükle ilgili tüm sorulara cevap bulabilirsiniz .
",newsdev2016
"You can send in your queries that are of specific interest to you to which you cannot find answers at alipekten @ hurriyet.com.tr.
","Cevabını bulamadığınız ve özel olarak sizi ilgilendiren sorularınızı alipekten @ hurriyet.com.tr adresine gönderebilirsiniz .
",newsdev2016
"I will put in all efforts to respond to you as soon as possible .
","Size en kısa sürede cevap vermek için yoğun gayret içinde olacağım .
",newsdev2016
"What is retirement due to disability ?
","Malulen emeklilik nedir ?
",newsdev2016
"Retirement due to disability means that , regardless of age , if those insured with SSK or Bağ-Kur lose at least 60 % of their working ability and become dysfunctional , to sustain their lives and provided that they meet the insurance requirements as stipulated by the SGK legislation , they are given option of early retirement .
","MALULEN emeklilik yaşına bakılmaksızın çalışma işgücünü en az yüzde 60 oranında kaybedip de çalışamaz duruma düşen SSK ’ lı ve Bağ-Kur ’ lu sigortalıların hayatını idame ettirebilmesi için SGK kanununda sayılan sigorta şartlarını karşılamaları kaydıyla , kendilerine tanınan erkenden emekli edilebilme imkânıdır .
",newsdev2016
"Public servants , apart from the above-mentioned , may be given early retirement if they lose their occupational earning power to the extent that they cannot perform their duties .
","Kamu çalışanlarında yukarıda belirtilenlerden ayrı olarak vazifelerini yapamayacak derecede meslekte kazanma gücünü kaybettikleri durumlarda da emekli edilebilmeleri halidir .
",newsdev2016
"Who are considered disabled ?
","Kimler malul sayılır ?
",newsdev2016
"I am writing from Diyarbakir , my name is Mehmet Gültekin and I have 920 days of insurance with an additional 540 days credit from my military service making up a total of 1,460 days of insurance premium paid in all .
","Diyarbakır ’ dan yazıyorum , ismim Mehmet Gültekin , benim 920 gün sigortam var ayrıca 540 gün de askerlik borçlanmamla birlikte 1460 gün sigortam var .
",newsdev2016
"Also , I have renal disease .
","Ayrıca , ben böbrek hastasıyım .
",newsdev2016
"I am undergoing dialysis treatment .
","Diyaliz makinasına bağlanıyorum .
",newsdev2016
"I am currently employed .
","Halen bir işyerinde çalışıyorum .
",newsdev2016
"Am I entitled to get disability pension ?
","Ben malullük aylığı alabilir miyim ?
",newsdev2016
"Mehmet , first of all , please get well soon .
","- Mehmet Bey öncelikle geçmiş olsun .
",newsdev2016
"Among the circumstances you have indicated in your query , you have not indicated when you first started work .
","Sorunuzda belirttiğiniz hususlardan ilk defa ne zaman işe girdiğinizi belirtmemişsiniz .
",newsdev2016
"However , let me tell you how you could be entitled to a disability pension .
","Ancak , biz size nasıl malullük aylığı bağlanacağını kısaca anlatalım .
",newsdev2016
"First , the most important requirement specified by law is that you must be insured for 10 years and must have paid insurance premium for a total of 1,800 days .
","Öncelikle kanunda belirtilen şartlardan en önemlisi 10 yıldan beri sigortalı olması ve 1800 gün toplam prim gününüz olması gereklidir .
",newsdev2016
"Moreover , you are deemed disabled when it is diagnosed by the SGK Health Council that you have lost at least 60 % of your working ability caused by work-related accident or an occupational disease .
","Ayrıca , SGK sağlık kurulunca çalışma gücünüzün veya iş kazası veya meslek hastalığı sonucu meslekte kazanma gücünün en az yüzde 60 ’ ını kaybettiğiniz tespit edildiğinde malul sayılırsınız .
",newsdev2016
"However , you meet the 60 % requirement by being a dialysis patient , but you are not entitled to pension because you did not complete payment of premium for 1,800 days .
","Ancak , siz burada diyaliz hastası olduğunuz için yüzde 60 şartını sağlıyorsunuz 1800 prim gün sayısını doldurmadığınız için aylık bağlanamaz .
",newsdev2016
"Of course , we do not know how long you have been working .
","Tabi sizin kaç yıldır çalıştığınızı bilmiyoruz .
",newsdev2016
"You will be granted pension if you apply to the SGK on the day you relinquish work when you complete 10 years and premium payment for 1,800 days .
","10 yılınızı ve 1800 günü birlikte tamamladığınız gün işten ayrılışınızı yapmanız kaydıyla SGK ya başvurmanız halinde size aylık bağlanacaktır .
",newsdev2016
"Conditions for entitlement to disability pension
","Malullük aylığına hak kazanmanın koşulları
",newsdev2016
"Can a person retire without meeting the criteria of 10 years and premium payment for 1,800 days required for entitlement to pension ?
","Maluliyet aylığı bağlama şartı olan 10 yıl , 1800 günü olmayan hiç kimse emekli olamaz mı ?
",newsdev2016
"- You must complete payment of premium for 1,800 days .
","- 1800 gün prim ödeme koşulu muhakkak tamamlanmalıdır .
",newsdev2016
"There is only one exception : For those for whom it has been decided that they are in need of constant nursing and care by someone else , they may be entitled to disability pension without the 10-year requirement as long as they meet the other conditions .
","Ancak bir tek istisna var ; o da başka birinin sürekli bakımına muhtaç derecede malul olduğuna karar verilenler için ise sigortalılık süresi olan 10 yıl şartı aranmaksızın diğer koşulları karşılaması kaydıyla maluliyet aylığı bağlanır .
",newsdev2016
"We will talk about the illnesses or conditions that are considered in determining the dependence on constant care later in the article .
","Hangi hastalıklar veya rahatsızlıklara sahip kişilerin sürekli bakıma muhtaç kapsamına gireceği konusuna yazımızın ilerleyen bölümlerinde değinilecektir .
",newsdev2016
"The status of those who are disabled before starting work
","Çalışmaya başlamadan malul olanların durumu
",newsdev2016
"I am Ahmet Güler .
","Ben Ahmet Güler .
",newsdev2016
"I was told that I am not entitled to disability pension even though I met all the requirements in the SGK law since I was disabled before I started working .
","SGK kanununda yer alan tüm koşulları taşıdığım halde bana , ilk defa işe girmeden önce hasta olduğum için malul aylığı alamazsın dediler .
",newsdev2016
"I have been treated unjustly .
","Ben çok mağdurum .
",newsdev2016
"Is this not unfair ?
","Haksızlık değil mi .
",newsdev2016
"How can I retire ?
","Ben nasıl emekli olurum ?
",newsdev2016
"- Ahmet , you have written that you meet all the requirements of the law but one of the main requirements of the law is that those insured with SSK and Bağ-Kur should not have been suffering from any illnesses that prevent you from working before you even start working .
","- Ahmet Bey , Kanunda yer alan tüm koşulları sağladığınızı yazmışsınız ancak ana koşullardan birisi olan ve kanunda yer alan SSK ve Bağ-kur sigortalıları için çalışma kaybına esas olan hastalığın işe girmeden önce mevcut olmaması şarttır .
",newsdev2016
"Disability pension cannot be granted to you since you do not meet this criterion .
","Bu şartı taşımadığınız için malullük aylığı bağlanamaz .
",newsdev2016
"However , you can retire when you meet all the conditions for receiving an old-age pension .
","Ancak , yaşlılık sigortası kapsamanda emeklilik şartlarını taşıdığınızda emekli olabilirsiniz .
",newsdev2016
"- I have 3980 days and I am insured for 16 years .
","- 3980 günüm var , 16 yıldır da sigortalıyım .
",newsdev2016
"The SGK has diagnosed that my disability commenced before I started work .
","Maluliyetimin işe girmeden önce olduğu SGK tarafından tespit edilmiştir .
",newsdev2016
"They said I could not retire on grounds of disability .
","Bana malulen emekli olamazsın dediler .
",newsdev2016
"In this case , what can I do ?
","Bu durumda ben ne yapacağım .
",newsdev2016
"Will I not be able to retire ?
","Emekli olamayacak mıyım .
",newsdev2016
"Can you show me a way ?
","Yol gösterir misiniz ?
",newsdev2016
"- Yes , you heard right .
","- Evet doğru duymuşsunuz .
",newsdev2016
"You cannot retire on account of disability .
","Malulen emekli olamazsınız .
",newsdev2016
"But in the SGK legislation , there is a retirement option for you too .
","Ancak SGK kanununda size göre de bir emeklilik reçetesi var .
",newsdev2016
"In other words , there are two situations : before October 2008 and after October 2008 .
","Şöyle ki , 2008 Ekim ’ den önce ve sonraya göre iki durum var .
",newsdev2016
"If you first started working before that date , and in case SGK establishes that you were disabled before starting work , you may be granted partial old-age pension with the condition of having been insured for at least 15 years and having paid insurance premium for 3,600 days .
","İlk defa bu tarihten önce çalışmaya başladıysanız , SGK sizin çalışmadan önce malul olduğunuzu tespit etmesi halinde , sizde en az 15 yıl sigortalılık süresi ve 3600 prim gün sayısı şartı ile kısmi yaşlılık aylığı alabilirsiniz .
",newsdev2016
"For this reason , we recommend that you contact your nearest SGK Directorate and apply for pension .
","Bu nedenle size en yakın bir SGK Müdürlüğüne başvurarak aylık bağlama talebinde bulunmanızı öneririz .
",newsdev2016
"- But if you started work after October 2008 , you may be granted old-age pension on the condition that you were insured for at least fifteen years and have paid at least 3,960 days of premium for disability , old age and life insurance .
","- Peki 2008 ekimden sonra işe girseydiniz o zaman da , en az on beş yıldan beri sigortalı bulunmak ve en az 3960 gün malullük , yaşlılık ve ölüm sigortaları primi bildirilmiş olmak şartıyla yaşlılık aylığı alabilirdiniz .
",newsdev2016
"Do I have to quit work in order to apply ?
","Başvururken işten ayrılmak şart mı ?
",newsdev2016
"At present , I am employed as a driver .
","Halen bir işyerinde şoför olarak çalışıyorum .
",newsdev2016
"I was diagnosed with cancer when I visited the hospital .
","Hastaneye gittiğimde bana kanser tanısı kondu .
",newsdev2016
"I want to retire on grounds of disability .
","Malulen emekli olmak istiyorum .
",newsdev2016
"In this case , do I have to quit work ?
","Bu durumda işyerinden ayrılmam mı lazım ?
",newsdev2016
"Can I apply for pension without quitting work ?
","Ayrılmadan malullük aylığına başvuramaz mıyım ?
",newsdev2016
"I do not want to be out of work until pension is granted .
","Aylık bağlanana kadar işsiz kalmak istemiyorum .
",newsdev2016
"- You heard right .
","- Doğru duymuşsunuz .
",newsdev2016
"To submit your pension request , you must quit work .
","Aylık bağlanma dilekçesi vermeniz için işten ayrılmış olmanız gerekmektedir .
",newsdev2016
"However , before applying for pension , you must be diagnosed as being disabled according to the SGK law .
","Ancak , aylığa başvurmadan önce sizin SGK kanununa göre malul sayılmanız lazım .
",newsdev2016
"However , if you are disabled you are granted pension with the other conditions .
","Ancak , malul olursanız diğer şartlarla beraber size aylık bağlanır .
",newsdev2016
"There is no point in making an application for pension before being diagnosed as being disabled , but there is a risk of being unemployed .
","Malul sayılmadan aylık bağlanma dilekçesi vermenin anlamı yok , işsiz kalma riskiniz var .
",newsdev2016
"For this , it is enough that you have 1,800 days .
","Bunun için 1800 gününüz olması yeterli .
",newsdev2016
"When you submit your application to the SGK to diagnose your disability , the SGK will direct you to an authorized hospital .
","SGK ’ ya gidip , benim maluliyetimi tespit edin diye bir dilekçe verdiğinizde SGK sizi yetkilendirilmiş hastanelerden birisine sevk edecektir .
",newsdev2016
"When you submit the health council report ( concerning your cancer diagnosis ) to the SGK , the latter will evaluate it by its own health council and if they decide that because of the cancer you have lost more than 60 % of your working ability , then this will be the reason for your pension application .
","Siz de buradan alacağınız sağlık kurulu raporunu ( kanser olduğunuza dair ) SGK ' ya getirdiğinizde SGK bu raporu kendi Sağlık kurulunda değerlendirecek ve kanser hastalığınızın sizin çalışma gücü kaybınızı yüzde 60 üzerinde etkilediğine karar verirse aylık bağlanma başvurusunda bulunmanız için bir neden olacaktır .
",newsdev2016
"However , to be granted pension you must complete 10 years of payment of premium to the insurance company , and if you have completed this period you will be granted pension .
","Ancak , aylığınızın bağlanması için ayrıca 10 yıllık sigortalılık süresini de doldurmanız gerektiğinden bu süre de varsa size aylık bağlanabilecektir .
",newsdev2016
"In other words , we can say briefly that it is unwise for those employed and insured to make applications without the decision of the SGK health council that they are disabled .
","Yani kısaca şunu söyleyebiliriz , çalışan sigortalıların SGK sağlık kurulunun , “ siz malulsünüz ” kararını görmeden başvuru yapması akılcı değildir .
",newsdev2016
"But every unemployed insured , if they meet all the conditions , can request the diagnosis of disability status and pension from the SGK at the same time .
","Fakat herhangi bir işte çalışmayan sigortalılar tüm şartları taşıyorsa SGK dan malullük durumunun tespitini ve aylık bağlanmasını aynı anda isteyebilir .
",newsdev2016
"This may be helpful in order to get pension granted at a somewhat earlier date if they are disabled and meet all the other requirements .
","Bu durum eğer malul ise ve diğer şartları da taşıyorsa kendisine biraz daha erken aylık başlangıcı için faydalı olabilir .
",newsdev2016
"Can a Bağ-Kur debtor retire on account of disability ?
","Bağ-Kur borçlusu malulen emekli olur mu ?
",newsdev2016
"I am insured by Bağ-Kur .
","Bağ-Kur sigortalısıyım .
",newsdev2016
"I meet all the conditions .
","Tüm şartları taşıyorum .
",newsdev2016
"However , they said that I could not retire since I have a debt .
","Ancak , borcum olduğu için malulen emekli olamazsın dediler .
",newsdev2016
"What should I do ?
","Ne yapmalıyım .
",newsdev2016
"- Dear reader ,
","- Değerli okurum .
",newsdev2016
"Whoever told you that is correct .
","Size kim söylemişse doğru söylemiş .
",newsdev2016
"You did not write what the other conditions are , but if you think that you meet those conditions , it is a legal requirement that you must pay your 4 / b premium debt .
","Diğer şartların ne olduğunu yazmamışsınız ancak bu şartları taşıdığınızı düşünüyorsanız 4 / b prim borcunuzu ödemeniz kanuni zorunluluktur .
",newsdev2016
"But I can give you special advice .
","Ancak size özel bir tiyo verebilirim .
",newsdev2016
"Since you will be granted pension , I suggest that you repay your debt by involving the banks or similar institutions .
","Size maaş bağlanacağı için borcunuzu bankaları veya buna benzer kuruluşları aracı yaparak ödemenizi tavsiye ederim .
",newsdev2016
