en,tr,split
"We prayed so that everything would be well with these drivers and we urged them to pay attention on the road and to abide by the rules,” the imam, Alipbai Boroshbayev, told EurasiaNet.org.","Sürücüler için dua ettik ve yolda dikkatli olup kurallara uymalarını teşvik ettik."" dedi.",train
Politics and politicians must stay ahead of technological progress and find timely solutions before technology has created a new reality.,Politikalar ve politikacılar teknolojik gelişmelerin ilerisinde olmalı ve teknoloji yeni bir gerçeklik yaratmadan önce yerinde çözümler üretmelidir.,train
"Eastern Visayas is composed of the three main islands Biliran, Leyte, and Samar, which are the easternmost islands of the central Philippine island group of Visayas.","Doğu Visayas, Filipinler'in merkezi Visayas bölgesinin en doğusunda yer alan Biliran, Leyte ve Samar adaları olmak üzere üç ana adadan oluşmaktadır.",train
"In 2015, breath-taking videos showed elated Syrian women ripping off Islamic garments after escaping persecution under ISIS, a public outpouring of ecstasy that captured the world's attention:","2015'de nefes kesici videolar, Suriye'li kadınların IŞİD'in işkencelerinden kaçtıktan sonra İslami kıyafetlerini parçalayıp atmalarını tüm dünyanın dikkatini çeken bir halk coşkusuyla göstermişti.",train
Photo by PPIimages on 1 August 2011.,Fotoğraf PPIimages tarafından 1 Ağustos 2011'de çekilmiştir.,train
"One man, however, said that the cleric's words ""are beautiful and represent true Islamic thinking.""","Ne var ki bir adam vaiz'in sözlerinin ""güzel ve gerçek İslamcı düşünceyi yansıttığını"" söyledi.",train
"What we expected was for the rain to pour and winds to howl, we thought work would be suspended for a day or two and some roads impassable due to slight debris pile up.","Yağmurun dökülüp fırtınaya dönüşeceğini düşündük, işlerin bir iki gün boyunca tatil olacağını düşündük ve hafif döküntüler nedeniyle geçilemeyen bazı yollar yıpranacaktı.",train
"Community guards or self-defense groups (which are becoming more common in Mexico given the ""war"" against drug trafficking), as well as several groups involved with organized crime, operate in the state.","Halk muhafızları veya meşru müdafaa örgütleri(uyuşturucu kaçakçılığına karşı ""savaş"" dolayısıyla gittikçe yaygınlaşmaktalar) ile organize suç eylemlerinde bulunan çeşitli örgütler de eyalet içerisinde faaliyetlerine devam ediyorlar.",train
"Translation: ""I don't wanna be a princess.","Çeviri: ""Ben bir prenses olmak istemiyorum.",train
He has ruled Uganda for 31 years and is ineligible to stand for another term in 2021 as he will be above the age limit of 75 set by the country's constitution.,"31 yıl boyunca Uganda'yı yöneten Museveni, ülkenin anayasasının belirttiği üzere yaş sınırı olan 75'i geçeceğinden dolayı 2021 yılında bir dönem için daha aday olamayacak.",train
What is the position of Armenia president?,"We need urgent answers as the consequences of this could be enormously damaging for the reputation of Armenia, suggesting support for neo-nazi and firebombers in the very heart of state structures.",train
"I must make it very, very clear, that if we run short of medicines, we will continue making noise, irrespective of the ministerial orders in place.","Açıkça belirtmeliyim ki, eğer ilaçlarımız azalmaya/yetmemeye başlarsa, Bakanlar düzeyindeki emirlere bakılmaksızın sesimizi yükseltmeye devam edeceğiz.",train
Magdalene is the fruit of our vision of an online publication that offers fresh perspectives beyond the typical gender and cultural confines.,"Magdalene, tipik toplumsal cinsiyet ve kültürel sınırların ötesinde yeni bakış açıları sunan çevrimiçi bir yayın vizyonumuzun meyvesidir.",train
"They claimed that they have had to pay almost $400 for the services of the Botkin morgue in Moscow, where the body was transferred from the migration center.",Bedenin göçmen bürosundan taşındığı Moskova'daki Botkin morguna neredeyse 400$ ödemek zorunda kaldıklarını öne sürdüler.,train
"In preparation for this holiday season, media outlets have also been instructed not to report any news related to Christmas, a celebration that the party feels is an unwanted reminder of China's historical humiliation by the West.","Bu tatil sezonunun hazırlığında basın kuruluşları partinin, Çin'in Batı tarafından aşağılanmasını hatırlattığını düşündüğü Noel kutlamaları ile ilgili haber yayınlamamaları doğrultusunda bilgilendirildi.",train
"On the other hand, it came out that just one and half years ago, same miners held a protest and a strike that lasted two weeks, and mentioned that they could not get their deserved payments and they were made to work under really bad conditions.","Diğer yandan, aynı madencilerin bir buçuk yıl önce iki hafta süren eylemler ve grev yaptıkları ve maaşlarını alamadıklarından, kötü çalışma şartlarından şikayet ettikleri ortaya çıktı.",train
Writer Terence Fernandez insisted that “the police should not only be looking into the claims of the breach of dress code but the fact that a child was possibly sexualised by an adult.”,"Yazar Terence Fernandez, ""Polis sadece kıyafet yönetmeliğinin ihlalini araştırmak yerine bir çocuğun muhtemelen bir yetişkin tarafından cinselleştirilmesi gerçeğine de bakmalı."" diyerek ısrarda bulundu.",train
We are the people.,Biz halkız.,train
"Treatment centers available in the region versus reported cases (via @aiddata, 01/07/2014)",Bildirilen vakalara karşın bölgede mevcut tedavi merkezleri (01/07/2014 tarihinde @aiddata aracılığı ile),train
Water Is Life for Ecuador's Sarayaku People · Global Voices,Ekvador'un Sarayaku Halkı İçin Su Hayat Demektir,train
"With continued fighting and only 17% of basic needs being met, the situation of Myanmar's IDPs is particularly worrying, and they are in desperate need of greater funding and financial support.","Hala süren çatışma ve temel ihtiyaçların sadece %17'sinin karşılanmasıyla, Miyanmar'lı IDP'lerin durumu endişe verici ve daha fazla yardım ve mali destek içinse umutları tükenmiş.",train
“We hope they grant this request and that my father is released soon.,"""Umarım bu talep karşılığını bulur ve babam yakında salınır.",train
We want it and we can do it!,İstiyoruz ve yapabiliriz!,train
"Life was put on hold for many residents, students, patients and commuters of Quetta city, when the Prime Minister of Pakistan and his entourage arrived in Balochistan province's capital last week.","Geçtiğimiz hafta Pakistan Başbakanı ve beraberindekiler Belucistan eyaletinin başkentine geldiğinde, Ketta şehri sakinleri, öğrencileri, hastaları ve çalışanlarının çoğu için hayat beklemede kaldı.",train
"In a 2016 interview, Greece's Secretary General for Gender Equality Fotini Kouvela recognized that, when it comes to violence against women, the country still has a long way to go:","2016'da gerçekleşen bir mülakatta, Yunanistan Cinsiyet Eşitliği Genel Bakanı Fotini Kouvela konu kadına şiddete gelince ülkenin daha katetmesi gereken çok uzun bir yolu olduğunu belirtti:",train
Fisher says the Harley-Davidson chapter in Dubai is a closely-knit community.,Fisher Dubai'deki Harley-Davidson grubunun birbirine kenetlenmiş bir topluluk olduğunu söylüyor.,train
"President of Kyrgyzstan, Almazbek Atambayev, said in a video message:",Kırgızistan Cumhurbaşkanı Almazbek Atambayev bir video mesajında şunları söyledi:,train
"""And I have so for as long as I remember,"" she says.","""So on that end, I was pretty confident.""",train
"A Facebook page, ""We want a Nobel Peace Prize for Dr Denis Mukwege"", was created to that effect.","""Dr. Denis Mukwege için Nobel Ödülü istiyoruz"" adında bir Facebook sayfası bu etkiyle açıldı.",train
"Kuchinoerabu eruption: evacuation of residents could last as long as one year; now an ""island of cows and potatoes.""",Kuchinoerabu'da patlama: Sakinlerin geri dönmesi bir yıl kadar sürebilir; ada şimdilik inek ve patateslere kalmış durumda.,train
A moment to acknowledge the immense treasures available to us..,Muazzam hazinelerin bizim için mevcut olduğunu anlamak için bir dakika..,train
Professor and journalist Hugo Neira recalls the Venezuela he knew over the years and writes quoting his own old articles:,Gazeteci profesör Hugo Neira yıllar önce ki Venezüela'yı anımsayor ve eski yazılarından alıntı yapıyordu:,train
"An Israeli warplane had bombed his family home in the Tal Al-Zaatar neighborhood in Northern Gaza on the July 11, 2014.",11 Temmuz 2014 tarihinde Kuzey Gazze'de Tal Al-Zaatar'daki evi bir İsrail savaş uçağı tarafından bombalanmıştı.,train
