en,tr
"Here's a stat worth knowing: In the UK, 63% of men who finish short-term prison sentences are back inside within a year for another crime. Helping them stay outside involves job training, classes, therapy. And it would pay off handsomely -- but the government can't find the funds. Toby Eccles shares an imaginative idea for how to change that: the Social Impact Bond. It's an unusual bond that helps fund initiatives with a social goal through private money -- with the government paying back the investors (with interest) if the initiatives work.","İşte size bilmeye değer bir istatistik: Birleşik Krallık'ta kısa süreli hapis cezası alan kişilerin %63'ü 1 sene içerisinde farklı bir suçtan tekrar içeri giriyorlar. Onların dışarıdan kalmasına yardım etmekse iş eğitimini, dersleri ve terapiyi içeren bir süreç. Ayrıca masrafını tamamen karşılayacak bir süreç fakat devlet buna yeterli kaynağı bulamıyor. Toby Eccles bu durumu değiştirmenin yaratıcı bir yolunu paylaşıyor: Sosyal Etki Bağı. Bu sıradışı bağ, özel sektörden gelen para ile sosyal bir hedefi olan girişimleri destekliyor hatta girişimin işe yaraması durumunda devlet yatırımcıların masrafını faiziyle karşılıyor."
Toby Eccles: Invest in social change,Toby Eccles: Toplumsal Değişime Yatırım
"""Life comes at us very quickly, and what we need to do is take that amorphous flow of experience and somehow extract meaning from it."" In this funny, enlightening talk, educational psychologist Peter Doolittle details the importance -- and limitations -- of your ""working memory,"" that part of the brain that allows us to make sense of what's happening right now.","""Hayat bize hızlı bir şekilde gelir, ve yapmamız gereken şey o amorf deneyim akışını almak ve bir şekilde ondan anlam çıkartmaktır."" Bu komik, aydınlatıcı konuşmada, eğitim psikoloğu Peter Doolittle şu an yaşananlardan anlam çıkarmamızı sağlayan beynin o parçası ""çalışan hafızanızın"" önemini -- ve sınırlarını -- detaylı bir şekilde anlatıyor."
"Peter Doolittle: How your ""working memory"" makes sense of the world","Peter Doolittle: ""Çalışan hafızanız"" dünyayı nasıl anlamlandırıyor"
"A billion people in the world lack access to all-season roads. Could the structure of the internet provide a model for how to reach them? Andreas Raptopoulos of Matternet thinks so. He introduces a new type of transportation system that uses electric autonomous flying machines to deliver medicine, food, goods and supplies wherever they are needed.","Dünyada bir milyar insan dört mevsime uygun yollara ulaşamıyor. İnternet'in yapısı onlara ulaşmak için bir model sağlayabilir mi? Matternet'ten Andreas Raptopoulous öyle düşünüyor. İhtiyaç olan heryere ilaç, yemek, mal ve malzemeler taşıyan elektrikli bağımsız hava araçlarını kullanan yeni tip bir nakliye sistemi sunuyor."
Andreas Raptopoulos: No roads? There’s a drone for that,Andreas Raptopoulos: Yol mu yok? Bunun için bir drone var
"Paralyzed by a stroke, Henry Evans uses a telepresence robot to take the stage -- and show how new robotics, tweaked and personalized by a group called Robots for Humanity, help him live his life. He shows off a nimble little quadrotor drone, created by a team led by Chad Jenkins, that gives him the ability to navigate space -- to once again look around a garden, stroll a campus …  <i>(Filmed at TEDxMidAtlantic.)</i>","İnme sonucu felç geçiren Henry Evans sahneye çıkmak için telebulunma (sanal gerçeklik) robotu kullanıyor ve bize İnsanlık için Robotlar adlı grup tarafından oluşturulan ve kişiselleştirilen yeni robotların nasıl yaşamını devam ettirmesini sağladığını gösteriyor. Henry, bize, Chad Jenkins'in önderliğindeki takım tarafından oluşturulan ve kendisine boşlukta dolaşma - tekrar bahçeye göz atma ve kampüste dolaşma - kabiliyetini kazandıran dört panelli ufak ve çevik robot uçağını gösteriyor.   (TEDxMidAtlantic'de çekilmiştir)"
Henry Evans and Chad Jenkins: Meet the robots for humanity,Henry Evans ve Chad Jenkins: İnsanlık için robotlar ile tanışın.
"What happens when you get an entire audience to stand up and connect with one another? Chaos, that's what. At least, that's what happened when Jane McGonigal tried to teach to play her favorite game. Then again, when the game is ""massively multiplayer thumb-wrestling,"" what else would you expect?","Tüm dinleyici kitlesini ayağa kaldırıp birbirleri ile bağladığınızda ne olur? Kaos, olacak olan bu. En azından, Jane McGonigal TED'de favori oyununu öğretmeye çalıştığında olan buydu. Aslında, oyunun adı ""çok oyunculu kitlesel parmak güreşi"" ise başka ne beklersiniz ki?"
Jane McGonigal: Massively multi-player… thumb-wrestling?,Jane McGonigal: Çok oyunculu kitlesel.... parmak güreşi?
"Different hospitals produce different results on different procedures. Only, patients don’t know that data, making choosing a surgeon a high-stakes guessing game. Stefan Larsson looks at what happens when doctors measure and share their outcomes on hip replacement surgery, for example, to see which techniques are proving the most effective. Could health care get better -- and cheaper -- if doctors learn from each other in a continuous feedback loop? (<em>Filmed at TED@BCG.</em>)","Değişik hastaneler değşik prosedürlerde farklı sonuçlar elde ediyor. Ancak hastalar bu veriyi bilmiyor, bir cerrah seçmek kumardan farksız. Stefan Larsson, doktorların en verimli yötemin ne olduğunu öğrenmek için, örneğin, kalça ameliyatı sonuçlarını ölçüp paylaştığında neyle karşılaştıklarına bakıyor. Sağlık hizmeti daha iyileşebilir mi? Daha ucuzlayabilir mi? Eğer tabi doktorlar birbirlerinden daimi bir döngüde öğrenirlerse...."
Stefan Larsson: What doctors can learn from each other,Stefan Larsson: Doktorlar birbirlerinden neler öğrenebilir
"For the young and unemployed in the world's big cities, dreams of opportunity and wealth do come true -- but too often because they're heavily recruited by terrorist groups and other violent organizations. Human rights advocate Mohamed Ali draws on stories from his native Mogadishu to make a powerful case for innovation incubators for our cities' young and ambitious.","Dünyanın büyük şehirlerindeki genç ve işsiz insanlar için, fırsat ve servet hayalleri gerçeğe dönüşüyor -- ama sıklıkla terörist gruplar ve diğer şiddet örgütleri tarafından çalıştırıldıkları için. İnsan hakları savunucusu Mohamed Ali, kendi şehirlerimizin genç ve tutkulu insanları için güçlü bir yenilik ve yaratıcılık dosyası oluşturmak adına, kendi şehri Mogadishu'dan hikayeler anlatıyor."
Mohamed Ali: The link between unemployment and terrorism,Mohamed Ali: İşsizlik ve terörizm arasındaki bağ
"What would a city designed for the blind be like? Chris Downey is an architect who went suddenly blind in 2008; he contrasts life in his beloved San Francisco before and after -- and shows how the thoughtful designs that enhance his life now might actually make everyone's life better, sighted or not.","Görme engelliler için tasarlanmış bir şehir nasıl olurdu? Chris Downey, 2008 yılında aninden görme yetisini kaybetmiş bir mimar; çok sevdiği San Francisco'yu önceki ve sonraki tecrübeleriyle karşılaştırıyor ve kendi yaşantısını iyileştiren  düşünceli dizaynların, görme engelli olsun veya olmasın, herkesin yaşamını nasıl daha iyi hale getirebileceğini gösteriyor."
Chris Downey: Design with the blind in mind,Chris Downey: Görme engellileri düşünerek dizayn etmek
"The developed world holds up the ideals of capitalism, democracy and political rights for all. Those in emerging markets often don't have that luxury. In this powerful talk, economist Dambisa Moyo makes the case that the west can't afford to rest on its laurels and imagine others will blindly follow. Instead, a different model, embodied by China, is increasingly appealing. A call for open-minded political and economic cooperation in the name of transforming the world.","Gelişmiş dünya, herkes için, kapitalizmin, demokrasinin ve siyasal haklarının ülkülerini elinde tutar. Gelişmekte olan piyasalar çoğunlukla böyle bir lükse sahip değillerdir. Bu etkili konuşmada, ekonomist Dambisa Moyo, batının, geçmiş başarılarının rehavetine kapılıp. diğerlerinin kör bir sekilde kendilerini takip edeceklerini hayal etmesinin bedelini ödeyemeyeceklerini açıklıyor. Bunun yerine, Çin tarafından hayata geçirilmiş farklı bir model giderek cazip hale geliyor. Dünyayı değiştirmek adına, açık görüşlü ekonomik ve siyasi işbirliği için bir çağrı."
Dambisa Moyo: Is China the new idol for emerging economies?,Dambisa Moyo: Çin gelişmekte olan ekonomiler için yeni bir idol mü?
"Math is logical, functional and just ... awesome. Mathemagician Arthur Benjamin explores hidden properties of that weird and wonderful set of numbers, the Fibonacci series. (And reminds you that mathematics can be inspiring, too!)","Matematik mantıklı, işlevsel ve... muhteşemdir. Matematik büyücüsü Arthur Benjamin, garip ve muazzam şekilde sıralanmış Fibonacci sayılarının gizli özelliklerini inceliyor (ve matematiğin de ilham verici olabileceğini hatırlatıyor)."
Arthur Benjamin: The magic of Fibonacci numbers,Arthur Benjamin: Fibonacci sayılarının büyüsü
"How do we decide who we are? Hetain Patel's surprising performance plays with identity, language and accent -- and challenges you to think deeper than surface appearances. A delightful meditation on self, with performer Yuyu Rau, and inspired by Bruce Lee.","Kim olduğumuza nasıl karar veririz? Hetain Patel'in şaşırtıcı performansı kimlik, dil ve aksan ile oynuyor --ve sizi yüzeysel görünüşten daha derin düşünmeye zorluyor. Performans sanatçısı Yuyu Rau ve Bruce Lee'nin ilhamı ile, kendisi üzerinde zevkli bir meditasyon."
Hetain Patel: Who am I? Think again,Hetain Patel: Ben kimim? Tekrar düşünün
"The line between public and private has blurred in the past decade, both online and in real life, and Alessandro Acquisti is here to explain what this means and why it matters. In this thought-provoking, slightly chilling talk, he shares details of recent and ongoing research -- including a project that shows how easy it is to match a photograph of a stranger with their sensitive personal information.","Kamusal ve kişisel arasındaki çizgiler son on yılda gerek sanal gerekse gerçek hayatta bulanıklaşmaya başladı ve Alessandro Acquisti bunun ne anlama geldiğini ve neden önemli olduğu anlatmak için burada. Bu düşünmeye zorlayan, hafif iç soğutan konuşmada, yabancı bir kişinin fotoğrafını son derece hassas bilgilerle eşleştirmenin ne kadar kolay olduğunu gösteren bir projeyi de içeren mevcut ve devam eden araştırmaların detaylarını paylaşıyor."
Alessandro Acquisti: Why privacy matters,Alessandro Acquisti: Mahremiyet neden önemlidir
"How do we solve the problem of the suburbs? Urbanist Jeff Speck shows how we can free ourselves from dependence on the car -- which he calls ""a gas-belching, time-wasting, life-threatening prosthetic device"" -- by making our cities more walkable and more pleasant for more people.","'Suburb' denilen sorunu nasıl çözebiliriz? Şehir planlamacısı Jeff Speck arabaya--yani 'gaz çıkaran, zaman yiyen, ölümcül bir protez-- bağımlılığımızdan kendimizi nasıl kurtarabileceğimzi gösteriyor.  Şehirlerimizi daha yürünebilir ve daha fazla insan için keyifli bir yer yaparak."
Jeff Speck: The walkable city,Jeff Speck: Yürünebilir şehir
"In the 1930s, broadcast radio introduced an entirely new form of storytelling; today, micro-blogging platforms like Twitter are changing the scene again. Andrew Fitzgerald takes a look at the (aptly) short but fascinating history of new forms of creative experimentation in fiction and storytelling.","19130'larda radyo yayıncılığı, hikaye anlatıcılığı için yeni bir form oluşturdu. Günümüzde, Twitter gibi mikro-blog platformları görüntüyü yeniden değiştiriyor. Andrew Fitzgerald, kurmaca ve hikaye anlatıcılığındaki yeni yaratıcı deney formlarının, kendileri gibi kısa, ama etkileyici tarihini anlatıyor."
Andrew Fitzgerald: Adventures in Twitter fiction,Andrew Fitzgerald: Twitter hikayeciliğinde maceralar
"Iran and Israel: two nations with tense relations that seem existentially at odds. But for all their antagonistic rhetoric, there is a recent hidden history of collaboration, even friendship. In an informative talk, Trita Parsi shows how an unlikely strategic alliance in the past could mean peace in the future for these two feuding countries.","İran ve İsrail: Var olduklarından bu yana araları açıkmış gibi görünen, gerilimli bir ilişkiye sahip iki devlet. Ama bütün bu zıt söylemlerin içinde bir işbirliğinin hatta dostluğun gizli bir yakın tarihi var. Trita Parsi aydınlatıcı konuşmasında, bu kan davalı iki ülkenin geçmişteki stratejik ittifaklarının, gelecekte nasıl barış anlamına gelebilileceğine işaret ediyor."
Trita Parsi: Iran and Israel: Peace is possible,Trita Parsi: İran ve İsrail: Barış mümkün
"In this funny and thought-provoking talk, Janette Sadik-Khan, transportation commissioner of New York City, shares projects that have reshaped street life in the 5 boroughs, including pedestrian zones in Times Square, high-performance buses and a 6,000-cycle-strong bike share. Her mantra: Do bold experiments that are cheap to try out.","'Ulaştırma Bakanı'nın işe sadece tabelalar ve lambalar ile alakalı değil' 2007 yılında Ulaştırma Bakan'ı posisyonuna tayin edilen Janette Sadik-Khan diyor.  Hafif komik ve düşündüren konuşmasında, Times Square Yayalaştırma Projesi ve Citi Bike Programı gibi, New York'un sokak hayatını yeniden canlandırmak  için yapılan projelerini anlatıyor.  Konuşmanın sonunda özel bir konukun çıkmasını da yakalayabilirsiniz."
Janette Sadik-Khan: New York's streets? Not so mean any more,Janette Sadik-Khan: New York'un sokakları?  Eskisi gibi acımasız değil
"In the past three decades, says Michael Sandel, the US has drifted from a market economy to a market society; it's fair to say that an American's experience of shared civic life depends on how much money they have. (Three key examples: access to education, access to justice, political influence.) In a talk and audience discussion, Sandel asks us to think honestly on this question: In our current democracy, is too much for sale?","Geçtiğimiz otuz yılda, diyor Michael Sandel, ABD pazar ekonomisinden pazar toplumuna kaydı; Bir Amerikalı'nın paylaşılan toplumsal hayat deneyiminin, ne kadar para kazandığına bağlı olduğunu söylemek haksızlık olmaz. (Üç anahtar örnek; eğitime erişim, adalete erişim, siyasi etki.) Sandel, bir konuşma ve dinleyici tartışması ile, şu soruyu dürüst bir şekilde düşünmemizi istiyor: Şu anki demokrasimizde, çok mu fazla şey satılık?"
Michael Sandel: Why we shouldn't trust markets with our civic life,Michael Sandel: Neden toplumsal hayatımızda piyasalara güvenmemeliyiz
"Why do we turn to nonprofits, NGOs and governments to solve society's biggest problems? Michael Porter admits he's biased, as a business school professor, but he wants you to hear his case for letting business try to solve massive problems like climate change and access to water. Why? Because when business solves a problem, it makes a profit -- which lets that solution grow.","Sosyal problemlerin çözümünde neden kâr amacı gütmeyen organizasyonlara, STK'lara ve hükümetlere bel bağlarız? Michael Porter bir işletme profesörü olarak önyargılı, fakat işletmelerin iklim değişikliği ve suya erişim gibi büyük sorunlara çözüm araştırmaları hususundaki  çalışmalarını duymanızı istiyor. Niçin? Çünkü işletmeler bir problemi çözdüğünde, kâr sağlarlar, bu da çözüm geliştirmeye olanak sağlar."
Michael Porter: Why business can be good at solving social problems,Michael Porter: Neden işletmeler sosyal problemlerin çözümlerinde başarılı olabilirler?
"In 1969, Buzz Aldrin’s historical step onto the moon leapt mankind into an era of technological possibility. The awesome power of technology was to be used to solve all of our big problems. Fast forward to present day, and what's happened? Are mobile apps all we have to show for ourselves? Journalist Jason Pontin looks closely at the challenges we face to using technology effectively ... for problems that really matter.","1969'da, Buzz Aldrin'in ay yüzeyine tarihi adımı insanlığı teknolojik olanaklar dönemine sıçrattı. Teknolojinin müthiş gücü tüm büyük problemlerimizi çözmek için kullanılabilirdi. Günümüze doğru ileri sararsak, ne oldu? Kendimize göstereceğimizin hepsi mobil uygulamalar mı? Gazeteci Jason Pontin teknolojiyi etkili kullanmamızda ortaya çıkan sorunlara yakından bakıyor... gerçekten önemli sorunlara."
Jason Pontin: Can technology solve our big problems?,Jason Pontin: Teknoloji büyük sorunlarımızı çözebilir mi?
"Swiss artist and photographer Fabian Oefner is on a mission to make eye-catching art from everyday science. In this charming talk, he shows off some recent psychedelic images, including photographs of crystals as they interact with soundwaves. And, in a live demo, he shows what really happens when you mix paint with magnetic liquid--or when you set fire to whiskey.","İsviçreli sanatçı ve fotoğrafçı Fabian Oefner, gündelik bilimi kullanarak göz alıcı sanat eserleri oluşturma misyonunu üstlenmiş. Bu büyüleyici konuşmada, ses dalgalarıyla etkileşime geçen kristallerin fotoğraflarını da içeren bir dizi psikedelik fotoğraf sergiliyor. Ve canlı gösterilerle manyetik bir sıvıyla boyayı karıştırdığınızda ya da viskiyi ateşe verdiğinizde aslında neler olduğunu gösteriyor."
Fabian Oefner: Psychedelic science,Fabian Oefner: Psikedelik bilim
"Psychologist Elizabeth Loftus studies memories. More precisely, she studies false memories, when people either remember things that didn't happen or remember them differently from the way they really were. It's more common than you might think, and Loftus shares some startling stories and statistics, and raises some important ethical questions we should all remember to consider.","Psikolog Elizabeth Loftus anılar üzerine çalışıyor. Daha doğrusu, yanlış anılar üzerine çalışıyor. İnsanların olmayan şeyleri hatırladıkları yahut mevcut şeyleri de yanlış bir şekilde hatırladıkları anıları üzerine. Bu aslında düşündüğünüzden daha ortak bir konu ve Loftus bazı sarsıcı örnekleri ve istatistikleri bizlerle paylaşıyor."
Elizabeth Loftus: The fiction of memory,Elizabeth Loftus: Hafızanın kurgusu
"By 2050, it will take 100 billion land animals to provide the world's population with meat, dairy, eggs and leather goods. Maintaining this herd will take a huge, potentially unsustainable toll on the planet. What if there were a different way? In this eye-opening talk, tissue engineering advocate Andras Forgacs argues that biofabricating meat and leather is a civilized way to move past killing animals for hamburgers and handbags.","2050'ye ulaştığımızda dünya nüfusunun et, süt ürünleri, yumurta ve deri ihtiyacını karşılamak için 100 milyar kara hayvanına gereksinim duyulacak. Bu büyüklükte bir hayvan sürüsünü beslemek gezegenimize büyük ve sürdürülme imkanı olmayan ekonomik bir yük olacak. Peki ya farklı bir yolu olsaydı? Bu göz açıcı konuşmada, doku mühendisi avukatı Andras Forgacs, et ve deriyi biyofabrikasyon yoluyla üretmenin, hamburger ve el çantaları üretmek için hayvanları öldürmekten daha medeni bir yol olduğunu savunuyor."
Andras Forgacs: Leather and meat without killing animals,Andras Forgacs: Hayvanları öldürmeden deri ve et üretimi
"What do 24,000 ideas look like? Ecologist Eric Berlow and physicist Sean Gourley apply algorithms to the entire archive of TEDx taking us on a stimulating visual tour to show how ideas connect globally.",24.000 fikir neye benzer? Çevrebilimci Eric Berlow ve fizikçi Sean Gourley tüm TEDx Konuşmaları arşivine algoritmaları uygulayarak fikirlerin küresel boyutta birbiriyle ne derecede bağlantılı olduklarını göstermek için bizi etkileyici bir görsel gezintiye çıkartıyorlar.
Eric Berlow and Sean Gourley: Mapping ideas worth spreading,Eric Berlow ve Sean Gourley: Yaymaya değer fikirleri haritalamak
"Hailed as the greatest pickpocket in the world, Apollo Robbins studies the quirks of human behavior as he steals your watch. In a hilarious demonstration, Robbins samples the buffet of the TEDGlobal 2013 audience, showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owner’s shoulder while they remain clueless.","Dünyadaki en iyi yankesici olarak bilinen Apollo Robbins, saatinizi çalarken insan davranışının acayipliklerini gözler önüne seriyor. Bu eğlenceli gösteride Robbins, TEDGlobal 2013'ün soyulmaya aday izleyicilerinden birini sahneye çıkararak algımızdaki noksanlıkların bir cüzdanın aşırılmasını nasıl mümkün kıldığını ve kimsenin haberi olmadan aynı cüzdanın sahibinin omzuna nasıl bırakılabileceğini gösteriyor."
Apollo Robbins: The art of misdirection,Apollo Robbins: Yanlış Yönlendirme Sanatı
"We’ve known how to cure malaria since the 1600s, so why does the disease still kill hundreds of thousands every year? It’s more than just a problem of medicine, says journalist Sonia Shah. A look into the history of malaria reveals three big-picture challenges to its eradication. Photos: Adam Nadel.",Sıtmayı tedavi etmeyi 1600'lü yıllardan beri biliyoruz. Peki neden hala bu hastalık yüzünden her yıl yüzbinlerce insan ölüyor? Gazeteci Sonia Shah bunun sadece tıbbi bir sorun olmadığını dile getiriyor. Sıtmanın tarihine göz attığımızda hastalıktan kurtulamayışımızın üç önemli sebebini görüyoruz.
Sonia Shah: 3 reasons we still haven’t gotten rid of malaria,Sonia Shah: Henüz sıtmadan kurtulamamış olmamızın üç sebebi
"Months after he was born, in 1948, Ron McCallum became blind. In this charming, moving talk, he shows how he is able to read -- and celebrates the progression of clever tools and adaptive computer technologies that make it possible. With their help, and that of generous volunteers, he's become a lawyer, an academic, and, most of all, a voracious reader. Welcome to the blind reading revolution. (Filmed at TEDxSydney.)","Ron McCallum, 1948’de doğduktan aylar sonra görme engelli oldu.  Bu büyüleyici, dokunaklı konuşmasında nasıl okuyabildiğini gösteriyor ve bunu mümkün kılan akıllı araçların ve uyarlamalı bilgisayar teknolojilerinin ilerleyişini kutluyor.  Onların ve cömert gönüllülerin yardımıyla bir avukat, bir akademisyen ve bilhassa doymak bilmez bir okuyucu oldu. Görme engelli okuma devrimine hoş geldiniz. (TEDxSydney’de filme alınmıştır.)"
Ron McCallum: How technology allowed me to read,Ron McCallum: Teknoloji okumama nasıl imkan verdi
"A third of the world watched live as the World Trade Center collapsed on September 11, 2001; a third more heard about it within 24 hours. (Do you remember where you were?) So exhibits at the soon-to-open 9/11 Memorial Museum will reflect the diversity of the world's experiences of that day. In a moving talk, designer Jake Barton gives a peek at some of those installations, as well as several other projects that aim to make the observer an active participant in the exhibit.","Dünyanın üçte biri 11 Eylül 2001 tarihinde Dünya Ticaret Merkezi'nin yerle bir oluşunu canlı izledi; üçte biri 24 saat içinde olaydan haberdar oldu. (Siz nerdeydiniz; hatırlıyor musunuz?) Yakında açılacak olan 9/11 anıtı da o gün yaşanmış farklı tecrübeleri sergisinde bu soru ile biraraya getirecek. Tasarımcı Jake Barton,bu araçlarından ve galerideki ziyaretçiyi aktif bir katılımcı haline getirmeyi amaçlayan projeleriyle dinleyenleri kısa ama heyecanlı bir yolculuğa çıkarıyor."
Jake Barton: The museum of you,Jake Barton: Sizin müzeniz
"Wolves were once native to the US' Yellowstone National Park -- until hunting wiped them out. But when, in 1995, the wolves began to come back (thanks to an aggressive management program), something interesting happened: the rest of the park began to find a new, more healthful balance. In a bold thought experiment, George Monbiot imagines a wilder world in which humans work to restore the complex, lost natural food chains that once surrounded us.","Kurtlar bir zamanlar ABD'deki Yellowstone Ulusal Parkı'nın sakinleriydi - ta ki avlanmayla yok olana kadar. Ancak 1995 yılında kurtlar geri gelmeye başladıklarında (girişken bir yönetim programı sayesinde), ilginç bir şey oldu: parkın geri kalanı yeni, daha sağlıklı bir dengeye kavuçmaya başladı. Cüretkar bir düşünce deneyinde, George Monbiot insanların bir zamanlar bizi saran karmaşık, kayıp doğal gıda zincirini yeniden kurmaya çalıştıkları daha vahşi bir dünyayı hayal ediyor."
"George Monbiot: For more wonder, rewild the world","George Monbiot: Daha fazla harika için, dünyayı yeniden yabanileştirin"
